Cooper-Standard Holdings Price to Free Cash Flow Ratio Historical Data,Cooper-Standard Holdings Price to Free Cash Flow Ratio Historical Data,Cooper-Standard Holdings Price to Free Cash Flow Ratio Historical Data,Cooper-Standard Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.93,,9.85
2024-12-31,13.56,$1.72,7.89
2024-09-30,13.87,$1.44,9.64
2024-06-30,12.44,$0.72,17.22
2024-03-31,16.56,$0.26,62.94
2023-12-31,19.54,$2.11,9.28
2023-09-30,13.42,$-3.67,0.0
2023-06-30,14.26,$-5.32,0.0
2023-03-31,14.24,$-3.40,0.0
2022-12-31,9.06,$-3.14,0.0
2022-09-30,5.84,$-2.29,0.0
2022-06-30,4.99,$-5.02,0.0
2022-03-31,8.77,$-9.27,0.0
2021-12-31,22.41,$-12.14,0.0
2021-09-30,21.91,$-11.26,0.0
2021-06-30,29.0,$-1.82,0.0
2021-03-31,36.32,$-5.77,0.0
2020-12-31,34.67,$-6.30,0.0
2020-09-30,13.21,$-3.50,0.0
2020-06-30,13.25,$-8.80,0.0
2020-03-31,10.27,$-3.14,0.0
2019-12-31,33.16,$-3.56,0.0
2019-09-30,40.88,$-5.20,0.0
2019-06-30,45.82,$-8.81,0.0
2019-03-31,46.96,$-2.70,0.0
2018-12-31,62.12,$-3.39,0.0
2018-09-30,119.98,$3.62,33.12
2018-06-30,130.67,$7.31,17.88
2018-03-31,122.81,$4.70,26.11
2017-12-31,122.5,$6.02,20.36
2017-09-30,115.97,$5.58,20.77
2017-06-30,100.87,$7.16,14.09
2017-03-31,110.93,$9.32,11.9
2016-12-31,103.38,$10.74,9.63
2016-09-30,98.8,$9.95,9.93
2016-06-30,78.99,$9.49,8.32
2016-03-31,71.84,$7.41,9.69
2015-12-31,77.59,$5.65,13.72
2015-09-30,58.0,$1.64,35.36
2015-06-30,61.47,$0.01,0.0
2015-03-31,59.2,$-0.92,0.0
2014-12-31,57.88,$-0.93,0.0
2014-09-30,62.4,$1.50,41.48
2014-06-30,66.16,$0.41,162.4
2014-03-31,70.65,$-3.50,0.0
2013-12-31,49.11,$-2.95,0.0
2013-09-30,50.0,$-3.82,0.0
2013-06-30,46.5,$-3.48,0.0
2013-03-31,41.6,$-1.29,0.0
2012-12-31,38.0,$-1.73,0.0
2012-09-30,37.5,$-1.11,0.0
2012-06-30,37.0,$-0.24,0.0
2012-03-31,43.74,$2.18,20.1
2011-12-31,34.5,$3.37,10.24
2011-09-30,42.0,$2.10,19.97
2011-06-30,46.0,$4.94,9.3
2011-03-31,45.1,$-0.62,0.0
