Trevi Therapeutics Price to Free Cash Flow Ratio Historical Data,Trevi Therapeutics Price to Free Cash Flow Ratio Historical Data,Trevi Therapeutics Price to Free Cash Flow Ratio Historical Data,Trevi Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.61,,0.0
2024-12-31,4.12,$-0.38,0.0
2024-09-30,3.34,$-0.35,0.0
2024-06-30,2.98,$-0.33,0.0
2024-03-31,3.45,$-0.34,0.0
2023-12-31,1.34,$-0.32,0.0
2023-09-30,2.18,$-0.38,0.0
2023-06-30,2.39,$-0.40,0.0
2023-03-31,1.85,$-0.29,0.0
2022-12-31,1.93,$-0.44,0.0
2022-09-30,1.54,$-0.53,0.0
2022-06-30,2.81,$-0.72,0.0
2022-03-31,2.2,$-1.11,0.0
2021-12-31,0.78,$-1.27,0.0
2021-09-30,1.4,$-1.55,0.0
2021-06-30,2.25,$-1.64,0.0
2021-03-31,2.71,$-1.74,0.0
2020-12-31,2.42,$-1.61,0.0
2020-09-30,4.03,$-2.13,0.0
2020-06-30,6.58,$-1.84,0.0
2020-03-31,3.29,$-2.23,0.0
