Entravision Communications Price to Free Cash Flow Ratio Historical Data,Entravision Communications Price to Free Cash Flow Ratio Historical Data,Entravision Communications Price to Free Cash Flow Ratio Historical Data,Entravision Communications Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.04,,7.12
2024-12-31,2.35,$0.29,8.2
2024-09-30,2.03,$0.13,15.87
2024-06-30,1.94,$0.69,2.81
2024-03-31,1.53,$0.56,2.75
2023-12-31,3.75,$0.55,6.85
2023-09-30,3.25,$0.53,6.18
2023-06-30,3.85,$0.45,8.57
2023-03-31,5.25,$0.55,9.59
2022-12-31,4.13,$0.80,5.17
2022-09-30,3.4,$0.96,3.54
2022-06-30,3.89,$1.04,3.75
2022-03-31,5.44,$1.13,4.81
2021-12-31,5.73,$0.79,7.22
2021-09-30,5.97,$1.10,5.42
2021-06-30,5.6,$0.97,5.78
2021-03-31,3.37,$0.84,4.0
2020-12-31,2.28,$0.71,3.23
2020-09-30,1.25,$0.32,3.93
2020-06-30,1.16,$0.22,5.33
2020-03-31,1.62,$0.09,18.01
2019-12-31,2.04,$0.07,27.69
2019-09-30,2.42,$0.10,24.34
2019-06-30,2.34,$0.13,18.3
2019-03-31,2.39,$0.27,8.72
2018-12-31,2.12,$0.19,11.38
2018-09-30,3.51,$0.18,18.99
2018-06-30,3.54,$3.10,1.14
2018-03-31,3.29,$3.03,1.09
2017-12-31,4.96,$3.15,1.58
2017-09-30,3.93,$3.26,1.21
2017-06-30,4.51,$0.49,9.27
2017-03-31,4.22,$0.56,7.52
2016-12-31,4.74,$0.53,8.96
2016-09-30,5.14,$0.50,10.35
2016-06-30,4.51,$0.47,9.52
2016-03-31,4.97,$0.39,12.8
2015-12-31,5.12,$0.54,9.52
2015-09-30,4.4,$0.59,7.44
2015-06-30,5.43,$0.61,8.86
2015-03-31,4.16,$0.69,6.01
2014-12-31,4.24,$0.50,8.43
2014-09-30,2.59,$0.44,5.9
2014-06-30,4.04,$0.33,12.16
2014-03-31,4.33,$0.35,12.23
2013-12-31,3.92,$0.25,15.52
2013-09-30,3.72,$0.38,9.67
2013-06-30,3.88,$0.41,9.45
2013-03-31,2.01,$0.39,5.18
2012-12-31,1.05,$0.35,2.99
2012-09-30,0.78,$0.21,3.7
2012-06-30,0.71,$0.09,8.17
2012-03-31,1.0,$0.09,11.1
2011-12-31,0.91,$0.11,8.53
2011-09-30,0.58,$0.20,2.9
2011-06-30,1.04,$0.35,2.97
2011-03-31,1.53,$0.24,6.43
2010-12-31,1.45,$0.34,4.3
2010-09-30,1.12,$0.20,5.65
2010-06-30,1.19,$0.16,7.43
2010-03-31,1.56,$0.14,11.29
2009-12-31,1.92,$0.09,20.27
