Essex Property Trust Price to Free Cash Flow Ratio Historical Data,Essex Property Trust Price to Free Cash Flow Ratio Historical Data,Essex Property Trust Price to Free Cash Flow Ratio Historical Data,Essex Property Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,302.08,,117.41
2024-12-31,285.44,$2.57,110.94
2024-09-30,295.42,$2.35,125.87
2024-06-30,269.96,$5.11,52.86
2024-03-31,240.63,$6.61,36.4
2023-12-31,241.26,$12.97,18.6
2023-09-30,204.47,$14.44,14.16
2023-06-30,223.43,$13.94,16.03
2023-03-31,197.48,$13.72,14.39
2022-12-31,197.87,$12.66,15.63
2022-09-30,223.85,$10.45,21.42
2022-06-30,239.45,$10.02,23.9
2022-03-31,313.71,$10.59,29.63
2021-12-31,317.84,$12.55,25.33
2021-09-30,286.82,$13.50,21.24
2021-06-30,267.39,$13.98,19.13
2021-03-31,240.62,$16.45,14.63
2020-12-31,208.59,$6.62,31.51
2020-09-30,174.88,$6.08,28.75
2020-06-30,197.54,$4.94,39.96
2020-03-31,188.11,$1.31,143.97
2019-12-31,254.63,$7.25,35.11
2019-09-30,274.67,$9.35,29.37
2019-06-30,244.02,$9.68,25.21
2019-03-31,240.15,$11.59,20.72
2018-12-31,202.23,$12.43,16.27
2018-09-30,203.47,$9.31,21.85
2018-06-30,195.66,$9.36,20.9
2018-03-31,195.44,$7.55,25.87
2017-12-31,194.49,$6.30,30.88
2017-09-30,203.21,$6.63,30.66
2017-06-30,204.39,$6.70,30.48
2017-03-31,182.71,$6.76,27.05
2016-12-31,182.11,$6.35,28.68
2016-09-30,173.21,$7.06,24.53
2016-06-30,176.16,$6.55,26.89
2016-03-31,179.34,$4.33,41.46
2015-12-31,182.34,$1.64,110.95
2015-09-30,169.16,$1.87,90.37
2015-06-30,159.82,$-3.20,0.0
2015-03-31,171.76,$-3.57,0.0
2014-12-31,153.4,$-1.17,0.0
2014-09-30,131.9,$-4.96,0.0
2014-06-30,135.47,$-1.07,0.0
2014-03-31,123.71,$1.01,121.95
2013-12-31,103.64,$-2.69,0.0
2013-09-30,105.78,$-7.48,0.0
2013-06-30,112.9,$-8.89,0.0
2013-03-31,106.16,$-9.83,0.0
2012-12-31,102.56,$-6.25,0.0
2012-09-30,102.9,$0.19,532.32
2012-06-30,106.06,$1.76,60.12
2012-03-31,103.63,$1.83,56.77
2011-12-31,95.4,$0.23,408.57
2011-09-30,80.9,$-10.35,0.0
2011-06-30,90.4,$-11.69,0.0
2011-03-31,82.22,$-11.77,0.0
2010-12-31,75.09,$-10.45,0.0
2010-09-30,71.3,$-1.57,0.0
2010-06-30,62.94,$-0.35,0.0
2010-03-31,57.48,$0.24,241.39
2009-12-31,52.83,$0.65,81.35
