Art's-Way Manufacturing Price to Free Cash Flow Ratio Historical Data,Art's-Way Manufacturing Price to Free Cash Flow Ratio Historical Data,Art's-Way Manufacturing Price to Free Cash Flow Ratio Historical Data,Art's-Way Manufacturing Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.69,,4.47
2024-11-30,1.7,$0.38,4.49
2024-08-31,2.07,$0.20,10.4
2024-05-31,1.74,$0.19,8.93
2024-02-29,1.97,$-0.39,0.0
2023-11-30,2.06,$-0.12,0.0
2023-08-31,2.67,$-0.03,0.0
2023-05-31,2.48,$-0.09,0.0
2023-02-28,2.13,$-0.09,0.0
2022-11-30,1.94,$-0.07,0.0
2022-08-31,2.48,$-0.16,0.0
2022-05-31,2.59,$-0.15,0.0
2022-02-28,4.06,$-0.25,0.0
2021-11-30,3.54,$-0.35,0.0
2021-08-31,3.37,$-0.51,0.0
2021-05-31,3.29,$-0.28,0.0
2021-02-28,3.15,$0.09,34.05
2020-11-30,2.49,$-0.31,0.0
2020-08-31,2.36,$-0.09,0.0
2020-05-31,1.94,$-0.14,0.0
2020-02-29,2.07,$-0.02,0.0
2019-11-30,1.84,$0.29,6.24
2019-08-31,2.03,$0.11,18.63
2019-05-31,2.0,$-0.18,0.0
2019-02-28,2.15,$-0.44,0.0
2018-11-30,2.39,$-0.36,0.0
2018-08-31,2.75,$-0.07,0.0
2018-05-31,2.75,$0.15,18.15
2018-02-28,2.6,$0.15,17.54
2017-11-30,2.7,$0.07,40.43
2017-08-31,2.1,$0.09,23.62
2017-05-31,3.04,$-0.22,0.0
2017-02-28,4.0,$0.40,10.09
2016-11-30,3.25,$0.80,4.06
2016-08-31,3.08,$0.65,4.74
2016-05-31,3.05,$0.78,3.91
2016-02-29,3.1,$0.45,6.85
2015-11-30,3.04,$0.02,145.36
2015-08-31,4.21,$0.67,6.32
2015-05-31,5.0,$0.63,7.9
2015-02-28,4.57,$0.39,11.61
2014-11-30,5.24,$0.33,16.02
2014-08-31,5.28,$-0.59,0.0
2014-05-31,5.75,$-0.49,0.0
2014-02-28,5.88,$-0.64,0.0
2013-11-30,6.18,$-0.00,0.0
2013-08-31,6.83,$0.83,8.19
2013-05-31,7.23,$1.28,5.65
2013-02-28,6.55,$1.46,4.5
2012-11-30,5.35,$1.04,5.15
2012-08-31,6.42,$0.76,8.5
2012-05-31,7.12,$0.49,14.48
2012-02-29,7.32,$0.09,80.39
2011-11-30,5.77,$0.37,15.48
2011-08-31,6.63,$0.16,40.77
2011-05-31,7.57,$0.09,83.96
2011-02-28,10.32,$-0.03,0.0
2010-11-30,9.04,$0.39,23.4
2010-08-31,5.17,$0.60,8.65
2010-05-31,5.65,$0.63,8.99
2010-02-28,4.42,$1.24,3.57
2009-11-30,3.63,$0.29,12.41
