Nortech Systems Price to Free Cash Flow Ratio Historical Data,Nortech Systems Price to Free Cash Flow Ratio Historical Data,Nortech Systems Price to Free Cash Flow Ratio Historical Data,Nortech Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.9,,0.0
2024-09-30,11.71,$-1.65,0.0
2024-06-30,13.65,$-0.44,0.0
2024-03-31,13.35,$0.47,28.59
2023-12-31,9.42,$0.17,56.04
2023-09-30,9.25,$1.65,5.6
2023-06-30,9.7,$1.90,5.12
2023-03-31,10.65,$1.13,9.39
2022-12-31,12.25,$1.05,11.62
2022-09-30,10.54,$-0.89,0.0
2022-06-30,14.0,$-0.75,0.0
2022-03-31,10.48,$-1.09,0.0
2021-12-31,10.35,$-1.84,0.0
2021-09-30,11.5,$-0.64,0.0
2021-06-30,7.99,$0.34,23.43
2021-03-31,6.28,$2.03,3.09
2020-12-31,7.17,$2.59,2.76
2020-09-30,4.69,$2.53,1.85
2020-06-30,4.29,$1.23,3.48
2020-03-31,3.42,$0.94,3.62
2019-12-31,4.87,$0.10,46.69
2019-09-30,3.03,$-0.58,0.0
2019-06-30,4.02,$-1.46,0.0
2019-03-31,4.73,$-0.39,0.0
2018-12-31,3.55,$0.39,9.06
2018-09-30,4.1,$0.57,7.16
2018-06-30,3.42,$0.47,7.31
2018-03-31,3.01,$0.26,11.75
2017-12-31,3.86,$0.24,16.01
2017-09-30,3.37,$0.76,4.46
2017-06-30,3.58,$1.28,2.8
2017-03-31,3.65,$0.46,7.93
2016-12-31,3.89,$0.57,6.77
2016-09-30,3.75,$-0.20,0.0
2016-06-30,3.73,$0.99,3.76
2016-03-31,3.85,$1.23,3.13
2015-12-31,3.88,$0.62,6.26
2015-09-30,4.25,$0.82,5.16
2015-06-30,4.35,$-0.79,0.0
2015-03-31,4.93,$-0.59,0.0
2014-12-31,5.68,$-0.22,0.0
2014-09-30,5.07,$-0.11,0.0
2014-06-30,4.66,$0.50,9.23
2014-03-31,5.03,$-0.14,0.0
2013-12-31,5.49,$-0.32,0.0
2013-09-30,4.77,$-0.38,0.0
2013-06-30,3.32,$-0.78,0.0
2013-03-31,3.31,$-0.94,0.0
2012-12-31,3.0,$0.08,36.45
2012-09-30,3.59,$0.39,9.29
2012-06-30,3.6,$1.22,2.96
2012-03-31,4.17,$1.58,2.65
2011-12-31,3.14,$-0.73,0.0
2011-09-30,3.37,$-0.61,0.0
2011-06-30,3.9,$-1.05,0.0
2011-03-31,4.08,$-0.84,0.0
2010-12-31,4.13,$0.83,4.99
2010-09-30,3.58,$1.05,3.4
2010-06-30,3.75,$0.28,13.52
2010-03-31,3.46,$0.86,4.03
2009-12-31,3.25,$-0.49,0.0
