CKX Lands Price to Free Cash Flow Ratio Historical Data,CKX Lands Price to Free Cash Flow Ratio Historical Data,CKX Lands Price to Free Cash Flow Ratio Historical Data,CKX Lands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.67,,25.67
2024-09-30,13.92,$0.45,30.61
2024-06-30,13.5,$0.63,21.58
2024-03-31,13.2,$0.31,42.47
2023-12-31,12.96,$0.51,25.38
2023-09-30,13.12,$0.30,43.04
2023-06-30,9.99,$0.42,23.94
2023-03-31,9.43,$0.27,35.02
2022-12-31,9.95,$0.21,46.43
2022-09-30,10.93,$0.10,112.22
2022-06-30,11.13,$0.07,163.44
2022-03-31,10.91,$0.27,39.92
2021-12-31,11.2,$0.50,22.53
2021-09-30,11.28,$0.50,22.68
2021-06-30,12.44,$0.43,28.96
2021-03-31,12.95,$0.43,30.27
2020-12-31,9.51,$0.26,37.01
2020-09-30,10.0,$0.31,32.62
2020-06-30,8.14,$0.31,26.68
2020-03-31,8.5,$0.16,52.8
2019-12-31,9.32,$0.16,59.54
2019-09-30,10.27,$0.18,56.49
2019-06-30,9.75,$0.14,67.61
2019-03-31,10.01,$0.18,54.25
2018-12-31,10.31,$0.63,16.36
2018-09-30,10.1,$0.58,17.43
2018-06-30,10.73,$0.58,18.35
2018-03-31,10.23,$0.65,15.75
2017-12-31,10.06,$0.15,67.73
2017-09-30,10.47,$0.16,65.66
2017-06-30,11.36,$-0.91,0.0
2017-03-31,11.76,$-1.17,0.0
2016-12-31,10.83,$-1.10,0.0
2016-09-30,10.78,$-1.15,0.0
2016-06-30,11.11,$-0.12,0.0
2016-03-31,10.29,$0.30,34.8
2015-12-31,9.74,$0.18,55.63
2015-09-30,10.54,$0.28,37.64
2015-06-30,14.24,$0.53,26.92
2015-03-31,14.53,$0.11,134.56
2014-12-31,15.85,$0.37,42.28
2014-09-30,15.93,$0.35,45.08
2014-06-30,16.15,$0.23,70.27
2014-03-31,14.56,$0.55,26.53
2013-12-31,14.34,$0.47,30.26
2013-09-30,14.18,$0.84,16.95
2013-06-30,14.66,$0.83,17.73
2013-03-31,13.31,$0.74,17.97
2012-12-31,12.92,$1.03,12.49
2012-09-30,12.97,$0.12,111.59
2012-06-30,13.3,$0.23,58.93
2012-03-31,11.87,$0.19,62.36
2011-12-31,10.44,$-0.43,0.0
2011-09-30,11.46,$0.09,123.52
2011-06-30,11.58,$-0.00,0.0
2011-03-31,11.74,$-0.22,0.0
2010-12-31,10.84,$0.08,131.67
2010-09-30,9.64,$0.16,60.3
2010-06-30,10.48,$0.21,50.26
2010-03-31,11.08,$0.35,31.87
2009-12-31,10.36,$0.49,21.29
