Traws Pharma Price to Free Cash Flow Ratio Historical Data,Traws Pharma Price to Free Cash Flow Ratio Historical Data,Traws Pharma Price to Free Cash Flow Ratio Historical Data,Traws Pharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.88,,0.0
2024-09-30,5.88,$-32.07,0.0
2024-06-30,11.17,$-24.71,0.0
2024-03-31,25.25,$-21.21,0.0
2023-12-31,18.64,$-21.38,0.0
2023-09-30,17.79,$-20.74,0.0
2023-06-30,29.5,$-20.07,0.0
2023-03-31,18.27,$-19.76,0.0
2022-12-31,16.14,$-19.48,0.0
2022-09-30,22.03,$-19.96,0.0
2022-06-30,33.0,$-21.77,0.0
2022-03-31,46.0,$-22.71,0.0
2021-12-31,63.75,$-28.94,0.0
2021-09-30,95.75,$-37.04,0.0
2021-06-30,173.25,$-40.88,0.0
2021-03-31,374.59,$-46.02,0.0
2020-12-31,174.68,$-49.75,0.0
2020-09-30,105.0,$366.76,0.29
2020-06-30,212.29,$154.84,1.37
2020-03-31,113.63,$-139.29,0.0
2019-12-31,143.63,$-544.24,0.0
2019-09-30,318.6,"$-1,868.33",0.0
2019-06-30,1068.75,"$-1,854.88",0.0
2019-03-31,1237.5,$-436.37,0.0
2018-12-31,791.25,"$-2,062.74",0.0
2018-09-30,2752.5,"$-1,152.51",0.0
2018-06-30,2275.31,$-971.60,0.0
2018-03-31,4696.87,"$-2,085.27",0.0
2017-12-31,8437.5,$-39.74,0.0
2017-09-30,9618.75,$-30.64,0.0
2017-06-30,12150.0,$-1.74,0.0
2017-03-31,17100.0,$-2.79,0.0
2016-12-31,12768.75,$-3.58,0.0
2016-09-30,14906.25,$-4.24,0.0
2016-06-30,32512.5,$-8.44,0.0
2016-03-31,32625.0,$-14.97,0.0
2015-12-31,53819.99,$-13.75,0.0
2015-09-30,76499.99,$-12.28,0.0
2015-06-30,133312.49,$-9.72,0.0
2015-03-31,135562.49,$-2.38,0.0
2014-12-31,185062.48,$-2.68,0.0
2014-09-30,241874.98,$-4.97,0.0
2014-06-30,305437.47,$-7.26,0.0
