SEMrush Holdings Price to Free Cash Flow Ratio Historical Data,SEMrush Holdings Price to Free Cash Flow Ratio Historical Data,SEMrush Holdings Price to Free Cash Flow Ratio Historical Data,SEMrush Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.13,,42.69
2024-12-31,11.88,$0.24,50.06
2024-09-30,15.71,$0.23,67.31
2024-06-30,13.39,$0.23,58.4
2024-03-31,13.26,$0.12,111.99
2023-12-31,13.66,$0.00,0.0
2023-09-30,8.5,$-0.13,0.0
2023-06-30,9.57,$-0.18,0.0
2023-03-31,10.05,$-0.20,0.0
2022-12-31,8.14,$-0.11,0.0
2022-09-30,11.21,$-0.00,0.0
2022-06-30,12.93,$0.07,185.24
2022-03-31,11.94,$0.14,83.09
2021-12-31,20.85,$0.16,132.13
