Natural Grocers By Vitamin Cottage Price to Free Cash Flow Ratio Historical Data,Natural Grocers By Vitamin Cottage Price to Free Cash Flow Ratio Historical Data,Natural Grocers By Vitamin Cottage Price to Free Cash Flow Ratio Historical Data,Natural Grocers By Vitamin Cottage Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,37.69,,35.57
2024-12-31,39.72,$1.06,37.49
2024-09-30,29.61,$1.57,18.85
2024-06-30,21.06,$1.46,14.47
2024-03-31,17.93,$1.08,16.57
2023-12-31,15.8,$0.97,16.27
2023-09-30,11.97,$1.23,9.71
2023-06-30,11.28,$0.48,23.29
2023-03-31,10.72,$0.56,18.99
2022-12-31,8.26,$0.66,12.51
2022-09-30,9.66,$0.51,18.88
2022-06-30,14.18,$1.13,12.58
2022-03-31,17.33,$1.57,11.04
2021-12-31,12.53,$1.14,10.97
2021-09-30,9.79,$1.22,8.05
2021-06-30,9.32,$0.76,12.29
2021-03-31,15.13,$0.61,25.0
2020-12-31,11.79,$2.18,5.4
2020-09-30,7.45,$1.76,4.23
2020-06-30,11.17,$1.68,6.65
2020-03-31,6.36,$1.64,3.87
2019-12-31,7.3,$0.52,14.12
2019-09-30,7.33,$0.36,20.2
2019-06-30,7.38,$0.62,11.95
2019-03-31,8.77,$0.61,14.37
2018-12-31,11.25,$0.41,27.55
2018-09-30,12.4,$0.86,14.47
2018-06-30,9.35,$0.64,14.57
2018-03-31,5.26,$0.55,9.61
2017-12-31,6.56,$0.22,29.71
2017-09-30,4.1,$0.11,37.69
2017-06-30,6.07,$-0.21,0.0
2017-03-31,7.63,$-0.79,0.0
2016-12-31,8.73,$-0.92,0.0
2016-09-30,8.19,$-1.11,0.0
2016-06-30,9.58,$-0.83,0.0
2016-03-31,15.62,$-0.43,0.0
2015-12-31,14.96,$0.19,79.13
2015-09-30,16.66,$0.19,87.86
2015-06-30,18.08,$0.14,130.89
2015-03-31,20.27,$0.26,78.42
2014-12-31,20.68,$-0.14,0.0
2014-09-30,11.95,$-0.21,0.0
2014-06-30,15.72,$-0.08,0.0
2014-03-31,32.05,$-0.19,0.0
2013-12-31,31.17,$-0.22,0.0
2013-09-30,29.15,$-0.40,0.0
2013-06-30,22.76,$-0.45,0.0
