Smart Powerr Price to Free Cash Flow Ratio Historical Data,Smart Powerr Price to Free Cash Flow Ratio Historical Data,Smart Powerr Price to Free Cash Flow Ratio Historical Data,Smart Powerr Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.71,,0.0
2024-09-30,0.88,$-0.22,0.0
2024-06-30,1.04,$0.07,14.85
2024-03-31,1.24,$-8.76,0.0
2023-12-31,1.55,$-8.75,0.0
2023-09-30,1.25,$-8.57,0.0
2023-06-30,1.62,$-8.87,0.0
2023-03-31,1.53,$-0.05,0.0
2022-12-31,2.6,$-0.05,0.0
2022-09-30,3.22,$-0.09,0.0
2022-06-30,2.95,$-0.19,0.0
2022-03-31,5.91,$-0.04,0.0
2021-12-31,5.52,$-0.29,0.0
2021-09-30,6.03,$11.30,0.53
2021-06-30,9.16,$11.67,0.78
2021-03-31,8.05,$13.25,0.61
2020-12-31,5.09,$32.08,0.16
2020-09-30,3.13,$14.94,0.21
2020-06-30,2.25,$11.37,0.2
2020-03-31,3.24,$9.85,0.33
2019-12-31,2.8,$-9.36,0.0
2019-09-30,3.4,$-5.34,0.0
2019-06-30,4.2,$-0.05,0.0
2019-03-31,9.75,$0.35,27.59
2018-12-31,7.38,$2.50,2.95
2018-09-30,11.6,$4.81,2.41
2018-06-30,15.5,$3.19,4.86
2018-03-31,14.2,$2.16,6.59
2017-12-31,28.0,$-0.34,0.0
2017-09-30,10.0,$9.86,1.01
2017-06-30,13.1,$17.17,0.76
2017-03-31,15.79,$37.17,0.42
2016-12-31,14.91,$47.55,0.31
2016-09-30,18.1,$51.30,0.35
2016-06-30,22.6,$48.35,0.47
2016-03-31,30.55,$87.64,0.35
2015-12-31,35.8,$76.90,0.47
2015-09-30,50.0,$55.23,0.91
2015-06-30,83.0,$66.70,1.24
2015-03-31,102.0,$-22.74,0.0
2014-12-31,75.35,$-50.44,0.0
2014-09-30,123.0,$-60.66,0.0
2014-06-30,176.0,$-172.85,0.0
2014-03-31,393.0,$-159.44,0.0
2013-12-31,344.0,$-129.27,0.0
2013-09-30,240.0,$-122.53,0.0
2013-06-30,117.0,$11.04,10.6
2013-03-31,107.0,$65.24,1.64
2012-12-31,99.0,$83.06,1.19
2012-09-30,100.0,$77.14,1.3
2012-06-30,115.0,$44.79,2.57
2012-03-31,120.0,$-10.96,0.0
2011-12-31,120.0,$-30.76,0.0
2011-09-30,120.0,$-15.44,0.0
2011-06-30,202.0,$-17.83,0.0
2011-03-31,269.0,$-30.05,0.0
2010-12-31,305.0,$-28.04,0.0
2010-09-30,313.0,$-116.66,0.0
2010-06-30,375.0,$-129.32,0.0
2010-03-31,500.0,$-86.31,0.0
2009-12-31,412.0,$-81.10,0.0
