Estee Lauder Price to Free Cash Flow Ratio Historical Data,Estee Lauder Price to Free Cash Flow Ratio Historical Data,Estee Lauder Price to Free Cash Flow Ratio Historical Data,Estee Lauder Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,68.02,,21.45
2024-12-31,74.98,$3.17,23.64
2024-09-30,99.21,$3.69,26.9
2024-06-30,105.13,$3.99,26.32
2024-03-31,152.31,$3.14,48.54
2023-12-31,143.86,$2.23,64.37
2023-09-30,141.44,$2.29,61.87
2023-06-30,191.39,$2.02,94.88
2023-03-31,239.37,$2.89,82.94
2022-12-31,240.32,$2.61,91.98
2022-09-30,208.48,$4.04,51.61
2022-06-30,245.34,$5.48,44.76
2022-03-31,261.73,$5.26,49.78
2021-12-31,355.09,$7.23,49.14
2021-09-30,287.18,$6.70,42.89
2021-06-30,304.09,$8.13,37.4
2021-03-31,277.57,$6.90,40.25
2020-12-31,253.57,$6.58,38.52
2020-09-30,207.46,$5.98,34.72
2020-06-30,178.97,$4.52,39.63
2020-03-31,151.14,$5.32,28.4
2019-12-31,195.39,$4.77,40.97
2019-09-30,187.75,$4.19,44.82
2019-06-30,172.44,$4.79,35.98
2019-03-31,155.5,$4.58,33.92
2018-12-31,121.87,$4.67,26.09
2018-09-30,136.12,$5.04,27.02
2018-06-30,133.3,$5.15,25.91
2018-03-31,139.51,$5.06,27.55
2017-12-31,118.24,$4.92,24.03
2017-09-30,99.91,$3.99,25.06
2017-06-30,88.64,$3.48,25.47
2017-03-31,78.02,$3.29,23.73
2016-12-31,70.1,$3.08,22.79
2016-09-30,80.81,$2.98,27.16
2016-06-30,82.78,$3.36,24.66
2016-03-31,85.49,$3.55,24.06
2015-12-31,79.57,$3.69,21.57
2015-09-30,72.65,$3.47,20.94
2015-06-30,77.8,$3.81,20.41
2015-03-31,74.45,$3.37,22.08
2014-12-31,68.02,$3.27,20.83
2014-09-30,66.48,$2.88,23.12
2014-06-30,65.9,$2.61,25.27
2014-03-31,59.2,$2.45,24.16
2013-12-31,66.47,$2.23,29.82
2013-09-30,61.52,$2.35,26.13
2013-06-30,57.73,$1.94,29.79
2013-03-31,56.06,$1.87,30.05
2012-12-31,52.26,$1.83,28.51
2012-09-30,53.09,$1.51,35.08
2012-06-30,46.67,$1.78,26.24
2012-03-31,53.41,$1.94,27.5
2011-12-31,48.43,$1.86,26.02
2011-09-30,37.51,$1.63,23.03
2011-06-30,44.91,$1.68,26.74
2011-03-31,41.14,$1.38,29.87
2010-12-31,34.46,$1.33,25.84
2010-09-30,26.73,$1.58,16.97
2010-06-30,23.56,$1.71,13.79
2010-03-31,27.43,$2.40,11.43
2009-12-31,20.45,$2.33,8.77
