Sensient Technologies Price to Free Cash Flow Ratio Historical Data,Sensient Technologies Price to Free Cash Flow Ratio Historical Data,Sensient Technologies Price to Free Cash Flow Ratio Historical Data,Sensient Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,74.11,,32.08
2024-12-31,71.26,$2.31,30.85
2024-09-30,79.79,$3.36,23.74
2024-06-30,73.37,$2.64,27.8
2024-03-31,68.04,$2.63,25.84
2023-12-31,64.47,$1.94,33.28
2023-09-30,56.73,$0.20,278.09
2023-06-30,68.55,$-1.21,0.0
2023-03-31,73.38,$-1.87,0.0
2022-12-31,69.52,$-1.59,0.0
2022-09-30,65.72,$-0.73,0.0
2022-06-30,75.99,$0.26,290.59
2022-03-31,78.79,$1.33,59.36
2021-12-31,93.46,$2.00,46.78
2021-09-30,84.71,$3.22,26.28
2021-06-30,80.14,$3.41,23.54
2021-03-31,71.88,$3.63,19.79
2020-12-31,67.63,$3.93,17.19
2020-09-30,52.62,$3.44,15.31
2020-06-30,47.18,$3.89,12.12
2020-03-31,39.03,$3.56,10.97
2019-12-31,58.9,$3.26,18.04
2019-09-30,60.81,$3.77,16.14
2019-06-30,64.74,$3.41,19.01
2019-03-31,59.43,$1.82,32.64
2018-12-31,48.68,$0.77,63.11
2018-09-30,66.32,$-0.81,0.0
2018-06-30,61.73,$-1.25,0.0
2018-03-31,60.6,$-1.62,0.0
2017-12-31,62.51,$-0.46,0.0
2017-09-30,65.44,$-0.03,0.0
2017-06-30,68.24,$0.35,193.41
2017-03-31,66.91,$2.05,32.71
2016-12-31,66.08,$2.28,28.93
2016-09-30,63.48,$2.28,27.89
2016-06-30,59.28,$1.69,35.13
2016-03-31,52.74,$1.39,37.87
2015-12-31,51.96,$1.04,49.9
2015-09-30,50.5,$1.43,35.2
2015-06-30,56.08,$2.32,24.19
2015-03-31,56.3,$2.53,22.26
2014-12-31,49.13,$2.27,21.64
2014-09-30,42.44,$1.84,23.03
2014-06-30,44.96,$1.50,29.94
2014-03-31,45.31,$1.00,45.38
2013-12-31,38.78,$0.99,39.28
2013-09-30,38.11,$1.03,36.98
2013-06-30,32.04,$0.98,32.53
2013-03-31,30.77,$0.96,31.91
2012-12-31,27.83,$0.71,38.99
2012-09-30,28.59,$0.66,43.33
2012-06-30,28.39,$0.58,49.09
2012-03-31,29.19,$0.89,32.83
2011-12-31,28.96,$1.42,20.46
2011-09-30,24.73,$1.71,14.49
2011-06-30,27.99,$1.99,14.1
2011-03-31,26.91,$2.08,12.93
2010-12-31,27.4,$2.02,13.56
2010-09-30,22.61,$2.04,11.09
2010-06-30,19.1,$2.02,9.44
2010-03-31,21.27,$1.99,10.68
2009-12-31,19.11,$1.86,10.26
