Regions Financial Price to Free Cash Flow Ratio Historical Data,Regions Financial Price to Free Cash Flow Ratio Historical Data,Regions Financial Price to Free Cash Flow Ratio Historical Data,Regions Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.68,,13.98
2024-12-31,23.52,$1.55,15.16
2024-09-30,23.11,$2.71,8.54
2024-06-30,19.64,$2.26,8.68
2024-03-31,20.62,$2.51,8.2
2023-12-31,18.75,$2.26,8.29
2023-09-30,16.41,$2.74,5.98
2023-06-30,16.79,$2.19,7.65
2023-03-31,17.28,$2.79,6.2
2022-12-31,19.88,$3.20,6.22
2022-09-30,18.34,$2.63,6.98
2022-06-30,16.98,$3.17,5.36
2022-03-31,20.0,$2.92,6.85
2021-12-31,19.43,$3.05,6.37
2021-09-30,18.86,$2.26,8.34
2021-06-30,17.71,$2.10,8.44
2021-03-31,18.01,$2.22,8.12
2020-12-31,13.94,$2.28,6.12
2020-09-30,9.88,$2.75,3.59
2020-06-30,9.4,$2.78,3.39
2020-03-31,7.49,$2.65,2.82
2019-12-31,14.17,$2.41,5.89
2019-09-30,12.95,$2.86,4.53
2019-06-30,12.1,$2.66,4.55
2019-03-31,11.35,$2.37,4.79
2018-12-31,10.63,$1.93,5.52
2018-09-30,14.45,$1.22,11.81
2018-06-30,13.9,$1.40,9.94
2018-03-31,14.46,$1.29,11.2
2017-12-31,13.39,$1.79,7.47
2017-09-30,11.74,$1.91,6.14
2017-06-30,11.2,$1.66,6.75
2017-03-31,11.06,$1.64,6.76
2016-12-31,10.89,$1.62,6.74
2016-09-30,7.45,$1.32,5.65
2016-06-30,6.38,$1.35,4.72
2016-03-31,5.85,$1.29,4.53
2015-12-31,7.1,$0.92,7.7
2015-09-30,6.62,$1.29,5.14
2015-06-30,7.56,$1.32,5.73
2015-03-31,6.86,$1.26,5.43
2014-12-31,7.63,$1.34,5.67
2014-09-30,7.21,$1.35,5.36
2014-06-30,7.59,$1.51,5.02
2014-03-31,7.91,$2.03,3.9
2013-12-31,7.02,$2.52,2.78
2013-09-30,6.55,$2.31,2.84
2013-06-30,6.72,$2.43,2.76
2013-03-31,5.76,$1.84,3.13
2012-12-31,5.01,$1.63,3.07
2012-09-30,5.04,$1.56,3.23
2012-06-30,4.73,$2.14,2.21
2012-03-31,4.61,$3.14,1.47
2011-12-31,3.0,$3.62,0.83
2011-09-30,2.32,$4.26,0.54
2011-06-30,4.3,$3.17,1.36
2011-03-31,5.03,$2.91,1.73
2010-12-31,4.85,$3.29,1.47
2010-09-30,5.02,$2.26,2.22
2010-06-30,4.54,$1.87,2.43
2010-03-31,5.41,$4.26,1.27
2009-12-31,3.64,$1.82,2.0
