Golden Entertainment Price to Free Cash Flow Ratio Historical Data,Golden Entertainment Price to Free Cash Flow Ratio Historical Data,Golden Entertainment Price to Free Cash Flow Ratio Historical Data,Golden Entertainment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.04,,19.61
2024-12-31,31.6,$1.43,22.1
2024-09-30,31.79,$0.20,155.22
2024-06-30,30.87,$0.00,0.0
2024-03-31,36.24,$0.45,81.28
2023-12-31,39.01,$1.10,35.6
2023-09-30,33.39,$1.97,16.94
2023-06-30,38.83,$2.46,15.79
2023-03-31,40.42,$3.08,13.12
2022-12-31,34.74,$3.14,11.07
2022-09-30,32.41,$4.14,7.83
2022-06-30,36.74,$7.10,5.17
2022-03-31,53.95,$7.77,6.95
2021-12-31,46.94,$8.31,5.65
2021-09-30,45.6,$7.43,6.14
2021-06-30,41.62,$4.60,9.04
2021-03-31,23.47,$1.85,12.71
2020-12-31,18.48,$0.03,588.45
2020-09-30,12.85,$-0.58,0.0
2020-06-30,8.29,$-1.20,0.0
2020-03-31,6.14,$0.01,0.0
2019-12-31,17.85,$0.25,71.97
2019-09-30,12.35,$0.85,14.52
2019-06-30,13.01,$0.38,34.36
2019-03-31,13.15,$0.40,32.71
2018-12-31,14.88,$1.08,13.72
2018-09-30,22.3,$0.09,251.74
2018-06-30,25.07,$0.13,194.36
2018-03-31,21.58,$0.15,141.88
2017-12-31,30.33,$-0.30,0.0
2017-09-30,22.65,$0.71,31.75
2017-06-30,19.24,$1.03,18.77
2017-03-31,12.29,$0.55,22.27
2016-12-31,11.25,$0.43,25.92
2016-09-30,11.58,$0.47,24.4
2016-06-30,10.86,$0.32,33.56
