RGC Resources Price to Free Cash Flow Ratio Historical Data,RGC Resources Price to Free Cash Flow Ratio Historical Data,RGC Resources Price to Free Cash Flow Ratio Historical Data,RGC Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.68,,0.0
2024-12-31,20.06,$-0.34,0.0
2024-09-30,22.36,$-0.45,0.0
2024-06-30,20.08,$-0.53,0.0
2024-03-31,19.67,$-0.57,0.0
2023-12-31,19.56,$0.28,70.11
2023-09-30,16.44,$-0.15,0.0
2023-06-30,18.84,$-0.89,0.0
2023-03-31,21.62,$-0.93,0.0
2022-12-31,20.39,$-0.99,0.0
2022-09-30,19.29,$-1.07,0.0
2022-06-30,17.31,$-0.70,0.0
2022-03-31,19.44,$-0.81,0.0
2021-12-31,20.52,$-1.47,0.0
2021-09-30,19.9,$-1.00,0.0
2021-06-30,22.13,$-0.78,0.0
2021-03-31,19.31,$-1.25,0.0
2020-12-31,20.55,$-1.25,0.0
2020-09-30,20.12,$-1.23,0.0
2020-06-30,20.58,$-1.38,0.0
2020-03-31,24.47,$-0.79,0.0
2019-12-31,24.02,$-0.51,0.0
2019-09-30,24.44,$-0.89,0.0
2019-06-30,25.36,$-0.99,0.0
2019-03-31,21.89,$-1.34,0.0
2018-12-31,24.6,$-1.38,0.0
2018-09-30,21.81,$-1.25,0.0
2018-06-30,23.7,$-0.27,0.0
2018-03-31,20.5,$-0.05,0.0
2017-12-31,21.73,$-0.05,0.0
2017-09-30,22.81,$-0.09,0.0
2017-06-30,22.51,$-0.93,0.0
2017-03-31,17.37,$-0.77,0.0
2016-12-31,13.04,$-0.60,0.0
2016-09-30,12.26,$-0.42,0.0
2016-06-30,12.46,$-0.60,0.0
2016-03-31,11.0,$-0.33,0.0
2015-12-31,10.74,$0.51,21.17
2015-09-30,10.09,$0.42,23.78
2015-06-30,9.89,$0.11,88.1
2015-03-31,9.9,$-0.32,0.0
2014-12-31,10.69,$-1.17,0.0
2014-09-30,9.58,$-1.11,0.0
2014-06-30,9.21,$-0.80,0.0
2014-03-31,8.97,$-0.75,0.0
2013-12-31,8.89,$-0.08,0.0
2013-09-30,8.94,$0.01,703.65
2013-06-30,9.29,$0.13,70.52
2013-03-31,8.63,$0.25,34.58
2012-12-31,8.31,$0.30,27.7
2012-09-30,7.63,$0.45,17.0
2012-06-30,7.53,$0.19,40.4
2012-03-31,7.63,$-0.06,0.0
2011-12-31,7.29,$0.22,33.13
2011-09-30,7.55,$0.45,16.91
2011-06-30,6.55,$0.47,13.94
2011-03-31,6.81,$0.69,9.92
2010-12-31,6.25,$0.14,44.64
2010-09-30,5.89,$0.17,34.75
2010-06-30,5.99,$0.49,12.13
2010-03-31,5.98,$1.00,6.0
2009-12-31,5.48,$2.28,2.41
