HeartCore Enterprises Price to Free Cash Flow Ratio Historical Data,HeartCore Enterprises Price to Free Cash Flow Ratio Historical Data,HeartCore Enterprises Price to Free Cash Flow Ratio Historical Data,HeartCore Enterprises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.06,,0.0
2024-09-30,0.85,$-0.26,0.0
2024-06-30,0.7,$-0.23,0.0
2024-03-31,0.97,$-0.15,0.0
2023-12-31,0.64,$-0.24,0.0
2023-09-30,0.99,$-0.17,0.0
2023-06-30,1.43,$-0.23,0.0
2023-03-31,0.97,$-0.19,0.0
2022-12-31,0.91,$-0.27,0.0
