Salarius Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Salarius Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Salarius Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Salarius Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.9,,0.0
2024-09-30,1.44,$-10.28,0.0
2024-06-30,2.38,$-13.12,0.0
2024-03-31,4.23,$-23.46,0.0
2023-12-31,5.2,$-31.48,0.0
2023-09-30,5.26,$-44.56,0.0
2023-06-30,11.92,$-61.98,0.0
2023-03-31,15.28,$-61.63,0.0
2022-12-31,12.24,$-66.26,0.0
2022-09-30,39.0,$-61.78,0.0
2022-06-30,42.0,$-49.64,0.0
2022-03-31,79.62,$-46.72,0.0
2021-12-31,99.12,$-49.32,0.0
2021-09-30,204.0,$-66.32,0.0
2021-06-30,212.0,$-70.10,0.0
2021-03-31,296.0,$-72.46,0.0
2020-12-31,182.0,$-132.41,0.0
2020-09-30,168.78,$-311.99,0.0
2020-06-30,264.0,$-571.63,0.0
2020-03-31,136.14,$-628.83,0.0
2019-12-31,756.0,$-708.56,0.0
2019-09-30,1090.0,$-411.63,0.0
2019-06-30,2764.0,"$5,214.48",0.53
2019-03-31,1928.5,"$3,015.28",0.64
2018-12-31,1649.5,$542.84,3.04
2018-09-30,2324.0,"$-1,259.07",0.0
2018-06-30,4700.0,"$-8,882.64",0.0
2018-03-31,25000.0,"$-8,247.97",0.0
2017-12-31,17450.0,"$-8,061.80",0.0
2017-09-30,17050.0,"$-8,361.30",0.0
2017-06-30,19250.0,"$-8,285.14",0.0
2017-03-31,22000.0,"$-9,557.43",0.0
2016-12-31,26400.0,"$-10,042.58",0.0
2016-09-30,58900.0,"$-10,433.16",0.0
2016-06-30,51050.0,"$-10,433.47",0.0
2016-03-31,54850.0,"$-8,368.78",0.0
2015-12-31,62250.0,"$-7,486.59",0.0
