Northrop Grumman Price to Free Cash Flow Ratio Historical Data,Northrop Grumman Price to Free Cash Flow Ratio Historical Data,Northrop Grumman Price to Free Cash Flow Ratio Historical Data,Northrop Grumman Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,489.23,,27.49
2024-12-31,469.29,$17.79,26.37
2024-09-30,525.84,$16.56,31.75
2024-06-30,432.4,$17.29,25.01
2024-03-31,472.68,$13.88,34.06
2023-12-31,460.42,$13.82,33.33
2023-09-30,431.22,$13.88,31.07
2023-06-30,444.58,$15.46,28.76
2023-03-31,448.44,$8.49,52.8
2022-12-31,527.98,$10.42,50.68
2022-09-30,453.63,$4.04,112.41
2022-06-30,459.95,$2.65,173.83
2022-03-31,428.25,$10.88,39.36
2021-12-31,369.23,$13.90,26.57
2021-09-30,342.04,$16.75,20.42
2021-06-30,343.67,$17.25,19.93
2021-03-31,304.74,$24.29,12.55
2020-12-31,285.5,$18.44,15.49
2020-09-30,294.2,$22.93,12.83
2020-06-30,285.49,$21.71,13.15
2020-03-31,279.74,$17.34,16.13
2019-12-31,316.89,$17.84,17.76
2019-09-30,344.0,$17.09,20.13
2019-06-30,295.5,$14.93,19.79
2019-03-31,245.5,$10.84,22.64
2018-12-31,222.08,$14.77,15.04
2018-09-30,286.48,$11.36,25.21
2018-06-30,276.63,$12.44,22.24
2018-03-31,312.73,$10.23,30.58
2017-12-31,274.04,$9.60,28.56
2017-09-30,256.05,$8.77,29.21
2017-06-30,227.61,$8.01,28.43
2017-03-31,210.06,$8.72,24.09
2016-12-31,204.66,$10.49,19.51
2016-09-30,187.59,$11.54,16.25
2016-06-30,194.07,$10.57,18.36
2016-03-31,172.06,$10.72,16.05
2015-12-31,163.48,$8.83,18.52
2015-09-30,143.08,$6.71,21.33
2015-06-30,136.11,$8.27,16.47
2015-03-31,137.43,$7.83,17.55
2014-12-31,125.32,$9.58,13.08
2014-09-30,111.47,$8.24,13.53
2014-06-30,100.66,$8.02,12.56
2014-03-31,103.21,$7.13,14.49
2013-12-31,95.39,$9.06,10.53
2013-09-30,78.86,$8.34,9.45
2013-06-30,68.1,$7.62,8.94
2013-03-31,57.26,$9.67,5.92
2012-12-31,54.71,$9.11,6.0
2012-09-30,53.32,$9.59,5.56
2012-06-30,50.79,$9.56,5.31
2012-03-31,48.18,$5.86,8.22
2011-12-31,45.74,$5.76,7.94
2011-09-30,40.43,$5.31,7.61
2011-06-30,53.22,$5.21,10.22
2011-03-31,47.75,$7.46,6.4
2010-12-31,44.47,$6.20,7.17
2010-09-30,41.31,$5.32,7.77
2010-06-30,36.78,$3.73,9.86
2010-03-31,43.96,$4.07,10.8
2009-12-31,37.18,$5.13,7.24
