Castor Maritime Price to Free Cash Flow Ratio Historical Data,Castor Maritime Price to Free Cash Flow Ratio Historical Data,Castor Maritime Price to Free Cash Flow Ratio Historical Data,Castor Maritime Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.52,,0.52
2024-09-30,4.22,$4.85,0.87
2024-06-30,4.6,$7.65,0.6
2024-03-31,3.44,$6.79,0.51
2023-12-31,4.25,$3.88,1.1
2023-09-30,4.37,$2.21,1.97
2023-06-30,4.49,$1.27,3.52
2023-03-31,7.9,$2.70,2.93
2022-12-31,11.2,$2.13,5.27
2022-09-30,11.2,$0.76,14.66
2022-06-30,13.4,$-2.88,0.0
2022-03-31,18.4,$-21.06,0.0
2021-12-31,14.2,$-33.73,0.0
2021-09-30,24.4,$-37.57,0.0
2021-06-30,26.05,$-34.24,0.0
2021-03-31,76.1,$-20.13,0.0
2020-06-30,40.0,$24.42,1.64
