LSI Industries Price to Free Cash Flow Ratio Historical Data,LSI Industries Price to Free Cash Flow Ratio Historical Data,LSI Industries Price to Free Cash Flow Ratio Historical Data,LSI Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.55,,12.9
2024-12-31,19.42,$1.36,14.27
2024-09-30,16.11,$1.32,12.19
2024-06-30,14.39,$1.27,11.37
2024-03-31,14.98,$1.46,10.25
2023-12-31,13.9,$1.48,9.39
2023-09-30,15.62,$1.54,10.17
2023-06-30,12.31,$1.58,7.78
2023-03-31,13.6,$1.32,10.27
2022-12-31,11.91,$1.06,11.27
2022-09-30,7.44,$0.44,17.03
2022-06-30,5.94,$-0.21,0.0
2022-03-31,5.73,$-0.39,0.0
2021-12-31,6.51,$-0.13,0.0
2021-09-30,7.31,$0.38,19.43
2021-06-30,7.51,$0.94,7.99
2021-03-31,7.95,$1.28,6.23
2020-12-31,7.94,$1.03,7.72
2020-09-30,6.21,$1.35,4.6
2020-06-30,5.91,$1.78,3.32
2020-03-31,3.43,$1.52,2.25
2019-12-31,5.45,$1.32,4.13
2019-09-30,4.65,$0.98,4.75
2019-06-30,3.22,$0.34,9.43
2019-03-31,2.32,$0.25,9.16
2018-12-31,2.75,$0.59,4.64
2018-09-30,3.95,$0.50,7.95
2018-06-30,4.54,$0.37,12.2
2018-03-31,6.84,$0.46,14.73
2017-12-31,5.77,$0.62,9.3
2017-09-30,5.5,$0.68,8.11
2017-06-30,7.46,$0.68,10.95
2017-03-31,8.27,$0.54,15.41
2016-12-31,7.95,$0.30,26.28
2016-09-30,9.11,$0.19,48.91
2016-06-30,8.93,$0.31,28.64
2016-03-31,9.44,$0.18,52.52
2015-12-31,9.75,$0.40,24.28
2015-09-30,6.73,$0.77,8.75
2015-06-30,7.42,$0.70,10.64
2015-03-31,6.45,$0.78,8.25
2014-12-31,5.36,$0.41,13.16
2014-09-30,4.79,$0.14,34.55
2014-06-30,6.24,$0.27,23.31
2014-03-31,6.35,$0.08,77.91
2013-12-31,6.67,$0.02,296.62
2013-09-30,6.45,$0.09,75.03
2013-06-30,6.13,$0.05,113.13
2013-03-31,5.25,$0.17,31.65
2012-12-31,5.27,$0.38,13.92
2012-09-30,4.9,$0.61,8.05
2012-06-30,5.12,$0.86,5.96
2012-03-31,5.22,$0.76,6.9
2011-12-31,4.24,$0.43,9.97
2011-09-30,4.37,$0.16,27.79
2011-06-30,5.52,$-0.35,0.0
2011-03-31,5.01,$-0.05,0.0
2010-12-31,5.81,$0.20,29.02
2010-09-30,4.39,$0.32,13.76
2010-06-30,3.3,$0.46,7.18
2010-03-31,4.58,$0.39,11.61
2009-12-31,5.21,$0.86,6.09
