L.B Foster Price to Free Cash Flow Ratio Historical Data,L.B Foster Price to Free Cash Flow Ratio Historical Data,L.B Foster Price to Free Cash Flow Ratio Historical Data,L.B Foster Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.64,,13.63
2024-12-31,26.9,$1.51,17.76
2024-09-30,20.43,$1.30,15.73
2024-06-30,21.52,$0.93,23.21
2024-03-31,27.31,$0.54,50.54
2023-12-31,21.99,$3.00,7.33
2023-09-30,18.91,$1.67,11.3
2023-06-30,14.28,$-0.57,0.0
2023-03-31,11.48,$-0.22,0.0
2022-12-31,9.68,$-1.67,0.0
2022-09-30,9.76,$-1.69,0.0
2022-06-30,12.87,$-2.43,0.0
2022-03-31,15.37,$-1.98,0.0
2021-12-31,13.75,$-0.53,0.0
2021-09-30,15.49,$-0.79,0.0
2021-06-30,18.64,$1.09,17.12
2021-03-31,17.9,$2.23,8.03
2020-12-31,15.05,$0.73,20.71
2020-09-30,13.42,$1.79,7.49
2020-06-30,12.77,$3.56,3.59
2020-03-31,12.36,$2.89,4.28
2019-12-31,19.38,$2.27,8.52
2019-09-30,21.67,$1.34,16.19
2019-06-30,27.34,$0.36,76.91
2019-03-31,18.82,$0.66,28.65
2018-12-31,15.9,$2.38,6.69
2018-09-30,20.55,$3.11,6.61
2018-06-30,22.95,$1.66,13.84
2018-03-31,23.55,$2.77,8.5
2017-12-31,27.15,$3.31,8.21
2017-09-30,22.75,$2.78,8.19
2017-06-30,21.45,$3.35,6.4
2017-03-31,12.5,$2.66,4.71
2016-12-31,13.6,$1.14,11.93
2016-09-30,12.01,$4.92,2.44
2016-06-30,10.85,$5.73,1.89
2016-03-31,18.04,$4.90,3.68
2015-12-31,13.54,$4.54,2.98
2015-09-30,12.13,$1.36,8.94
2015-06-30,34.11,$1.51,22.53
2015-03-31,46.74,$0.87,53.52
2014-12-31,47.77,$4.83,9.9
2014-09-30,45.15,$4.43,10.19
2014-06-30,53.15,$3.12,17.05
2014-03-31,45.99,$5.01,9.18
2013-12-31,46.39,$0.44,106.23
2013-09-30,44.84,$-0.15,0.0
2013-06-30,42.29,$1.83,23.08
2013-03-31,43.36,$0.64,67.33
2012-12-31,42.5,$1.94,21.94
2012-09-30,31.62,$3.46,9.13
2012-06-30,27.95,$3.26,8.59
2012-03-31,27.83,$2.06,13.52
2011-12-31,27.59,$1.93,14.29
2011-09-30,21.66,$3.66,5.91
2011-06-30,32.03,$3.25,9.86
2011-03-31,41.93,$4.97,8.44
2010-12-31,39.79,$6.16,6.46
2010-09-30,28.13,$3.38,8.32
2010-06-30,25.19,$2.44,10.33
2010-03-31,28.08,$3.72,7.55
2009-12-31,28.97,$1.91,15.21
