Assurant Price to Free Cash Flow Ratio Historical Data,Assurant Price to Free Cash Flow Ratio Historical Data,Assurant Price to Free Cash Flow Ratio Historical Data,Assurant Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,212.05,,10.03
2024-12-31,213.22,$21.14,10.09
2024-09-30,198.14,$26.24,7.55
2024-06-30,165.04,$23.99,6.88
2024-03-31,186.09,$14.06,13.23
2023-12-31,165.85,$17.40,9.53
2023-09-30,140.72,$15.73,8.95
2023-06-30,122.6,$21.49,5.71
2023-03-31,116.44,$21.08,5.52
2022-12-31,120.62,$7.50,16.09
2022-09-30,139.35,$6.67,20.89
2022-06-30,165.11,$-4.90,0.0
2022-03-31,173.04,$7.65,22.62
2021-12-31,147.73,$9.88,14.95
2021-09-30,148.87,$12.40,12.01
2021-06-30,146.82,$22.68,6.47
2021-03-31,132.73,$14.17,9.37
2020-12-31,126.86,$19.32,6.57
2020-09-30,112.42,$16.73,6.72
2020-06-30,95.23,$14.57,6.54
2020-03-31,95.37,$15.39,6.2
2019-12-31,119.57,$20.91,5.72
2019-09-30,114.22,$21.19,5.39
2019-06-30,96.09,$17.52,5.48
2019-03-31,85.22,$14.60,5.84
2018-12-31,79.82,$9.64,8.28
2018-09-30,95.75,$9.22,10.39
2018-06-30,91.31,$11.85,7.71
2018-03-31,80.19,$7.07,11.34
2017-12-31,87.9,$8.94,9.83
2017-09-30,82.79,$8.52,9.72
2017-06-30,89.39,$5.74,15.59
2017-03-31,82.04,$6.14,13.37
2016-12-31,79.21,$0.38,209.66
2016-09-30,78.21,$-7.11,0.0
2016-06-30,72.76,$-5.85,0.0
2016-03-31,64.66,$-1.10,0.0
2015-12-31,67.04,$1.67,40.23
2015-09-30,65.38,$4.56,14.35
2015-06-30,55.22,$2.69,20.54
2015-03-31,50.39,$-0.13,0.0
2014-12-31,55.9,$4.24,13.18
2014-09-30,52.32,$9.79,5.35
2014-06-30,53.12,$12.51,4.25
2014-03-31,52.42,$13.63,3.85
2013-12-31,53.35,$12.58,4.24
2013-09-30,43.15,$11.65,3.7
2013-06-30,40.43,$8.66,4.67
2013-03-31,35.56,$7.88,4.52
2012-12-31,27.28,$7.33,3.72
2012-09-30,29.14,$8.08,3.61
2012-06-30,27.05,$7.16,3.78
2012-03-31,31.25,$6.63,4.71
2011-12-31,31.55,$8.42,3.75
2011-09-30,27.37,$5.55,4.93
2011-06-30,27.58,$4.96,5.56
2011-03-31,29.15,$5.21,5.6
2010-12-31,29.04,$4.39,6.61
2010-09-30,30.54,$4.24,7.2
2010-06-30,25.93,$6.09,4.25
2010-03-31,25.57,$5.10,5.01
2009-12-31,21.82,$1.82,11.99
