Rockwell Medical Price to Free Cash Flow Ratio Historical Data,Rockwell Medical Price to Free Cash Flow Ratio Historical Data,Rockwell Medical Price to Free Cash Flow Ratio Historical Data,Rockwell Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.4,,80.46
2024-09-30,3.97,$0.02,228.16
2024-06-30,1.76,$-0.14,0.0
2024-03-31,1.66,$-0.28,0.0
2023-12-31,1.89,$-0.42,0.0
2023-09-30,2.08,$-0.63,0.0
2023-06-30,5.46,$-0.16,0.0
2023-03-31,1.81,$-0.27,0.0
2022-12-31,1.02,$-1.20,0.0
2022-09-30,1.32,$-2.00,0.0
2022-06-30,1.29,$-3.28,0.0
2022-03-31,5.18,$-3.67,0.0
2021-12-31,4.51,$-3.99,0.0
2021-09-30,6.56,$-4.01,0.0
2021-06-30,10.01,$-3.94,0.0
2021-03-31,12.76,$-4.84,0.0
2020-12-31,11.11,$-4.46,0.0
2020-09-30,11.77,$-4.54,0.0
2020-06-30,21.45,$-4.59,0.0
2020-03-31,22.55,$-5.06,0.0
2019-12-31,26.84,$-5.03,0.0
2019-09-30,30.36,$-5.01,0.0
2019-06-30,33.11,$-5.26,0.0
2019-03-31,62.59,$-4.45,0.0
2018-12-31,24.86,$-4.41,0.0
2018-09-30,46.42,$-4.53,0.0
2018-06-30,54.23,$-4.40,0.0
2018-03-31,57.31,$-4.78,0.0
2017-12-31,64.02,$-4.91,0.0
2017-09-30,94.16,$-3.54,0.0
2017-06-30,87.23,$-4.06,0.0
2017-03-31,68.86,$-3.66,0.0
2016-12-31,72.05,$-2.78,0.0
2016-09-30,73.7,$-2.96,0.0
2016-06-30,83.27,$-2.35,0.0
2016-03-31,82.61,$-2.63,0.0
2015-12-31,112.64,$-3.11,0.0
2015-09-30,84.81,$1.70,49.94
2015-06-30,177.32,$2.64,67.23
2015-03-31,120.23,$3.15,38.11
2014-12-31,113.08,$0.95,119.11
2014-09-30,100.54,$-8.92,0.0
2014-06-30,131.89,$-9.34,0.0
2014-03-31,139.26,$-14.19,0.0
2013-12-31,114.84,$-17.17,0.0
2013-09-30,125.41,$-16.17,0.0
2013-06-30,39.71,$-20.51,0.0
2013-03-31,43.56,$-18.04,0.0
2012-12-31,88.55,$-16.86,0.0
2012-09-30,89.87,$-14.97,0.0
2012-06-30,102.41,$-11.73,0.0
2012-03-31,104.06,$-8.70,0.0
2011-12-31,93.17,$-6.93,0.0
2011-09-30,89.76,$-4.20,0.0
2011-06-30,141.24,$-3.08,0.0
2011-03-31,98.79,$-3.16,0.0
2010-12-31,86.9,$0.86,101.6
2010-09-30,77.88,$0.37,210.32
2010-06-30,58.85,$0.25,233.35
2010-03-31,63.58,$0.50,127.44
2009-12-31,84.59,$-2.26,0.0
