Perrigo Price to Free Cash Flow Ratio Historical Data,Perrigo Price to Free Cash Flow Ratio Historical Data,Perrigo Price to Free Cash Flow Ratio Historical Data,Perrigo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.49,,13.86
2024-12-31,25.71,$2.06,12.5
2024-09-30,25.98,$1.40,18.62
2024-06-30,25.2,$1.72,14.64
2024-03-31,31.58,$2.11,14.94
2023-12-31,31.28,$2.28,13.73
2023-09-30,30.78,$2.28,13.5
2023-06-30,32.46,$1.70,19.1
2023-03-31,34.0,$1.12,30.37
2022-12-31,32.07,$1.76,18.25
2022-09-30,33.28,$-0.72,0.0
2022-06-30,37.6,$1.44,26.07
2022-03-31,35.38,$0.98,36.22
2021-12-31,35.56,$0.03,1132.39
2021-09-30,42.97,$1.46,29.38
2021-06-30,41.39,$-0.66,0.0
2021-03-31,36.35,$2.05,17.7
2020-12-31,39.94,$3.40,11.76
2020-09-30,40.81,$3.37,12.09
2020-06-30,48.92,$4.00,12.23
2020-03-31,42.39,$2.30,18.44
2019-12-31,45.34,$1.83,24.75
2019-09-30,48.85,$2.58,18.95
2019-06-30,41.44,$2.71,15.3
2019-03-31,41.7,$2.96,14.09
2018-12-31,33.42,$3.55,9.43
2018-09-30,61.07,$3.76,16.26
2018-06-30,62.73,$4.14,15.13
2018-03-31,71.52,$4.20,17.02
2017-12-31,74.62,$4.28,17.44
2017-09-30,72.34,$4.30,16.82
2017-06-30,64.4,$4.36,14.79
2017-03-31,56.49,$4.58,12.32
2016-12-31,70.67,$3.83,18.46
2016-09-30,78.27,$0.05,1590.77
2016-06-30,76.73,$2.05,37.47
2016-03-31,108.1,$0.23,460.4
2015-12-31,122.13,$0.84,144.95
2015-09-30,132.63,$5.19,25.57
2015-06-30,155.77,$3.07,50.77
2015-03-31,139.43,$2.03,68.67
2014-12-31,140.67,$3.07,45.85
2014-09-30,126.31,$2.00,63.3
2014-06-30,122.49,$1.44,84.84
2014-03-31,129.87,$0.18,704.68
2013-12-31,128.78,$1.44,89.2
2013-09-30,103.48,$2.36,43.87
2013-06-30,101.41,$2.01,50.36
2013-03-31,99.44,$2.96,33.55
2012-12-31,87.05,$2.01,43.23
2012-09-30,97.12,$1.69,57.35
2012-06-30,98.52,$1.75,56.34
2012-03-31,86.24,$2.20,39.23
2011-12-31,81.16,$1.75,46.41
2011-09-30,80.93,$1.53,53.01
2011-06-30,73.18,$0.99,74.11
2011-03-31,66.17,$0.93,71.09
2010-12-31,52.64,$0.99,53.32
2010-09-30,53.32,$0.95,55.84
2010-06-30,49.0,$1.43,34.3
2010-03-31,48.65,$2.69,18.09
2009-12-31,32.96,$1.43,23.08
