Avita Medical Price to Free Cash Flow Ratio Historical Data,Avita Medical Price to Free Cash Flow Ratio Historical Data,Avita Medical Price to Free Cash Flow Ratio Historical Data,Avita Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.28,,0.0
2024-12-31,12.8,$-44.91,0.0
2024-09-30,10.72,$-46.13,0.0
2024-06-30,7.92,$-45.30,0.0
2024-03-31,16.03,$-40.83,0.0
2023-12-31,13.72,$-31.09,0.0
2023-09-30,14.61,$-25.04,0.0
2023-06-30,17.01,$-19.96,0.0
2023-03-31,13.97,$-15.49,0.0
2022-12-31,6.6,$-15.63,0.0
2022-09-30,5.27,$-1.89,0.0
2022-06-30,4.75,$-0.11,0.0
2022-03-31,8.48,$0.23,36.16
2021-12-31,11.98,$-0.00,0.0
2021-09-30,17.72,$-16.39,0.0
2021-06-30,20.52,$-23.24,0.0
2021-03-31,19.82,$-4.32,0.0
2020-12-31,18.58,$-12.82,0.0
