Silvercorp Metals Price to Free Cash Flow Ratio Historical Data,Silvercorp Metals Price to Free Cash Flow Ratio Historical Data,Silvercorp Metals Price to Free Cash Flow Ratio Historical Data,Silvercorp Metals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.13,,29.02
2024-12-31,3.0,$0.14,21.08
2024-09-30,4.35,$0.10,43.1
2024-06-30,3.35,$0.22,15.56
2024-03-31,3.24,$0.16,20.0
2023-12-31,2.61,$0.17,15.1
2023-09-30,2.32,$0.19,12.32
2023-06-30,2.78,$0.13,21.94
2023-03-31,3.76,$0.17,21.76
2022-12-31,2.91,$0.19,14.95
2022-09-30,2.28,$0.20,11.57
2022-06-30,2.43,$0.28,8.64
2022-03-31,3.53,$0.30,11.79
2021-12-31,3.67,$0.26,14.07
2021-09-30,3.7,$0.15,24.87
2021-06-30,5.34,$0.25,20.97
2021-03-31,4.76,$0.24,20.26
2020-12-31,6.49,$0.27,24.08
2020-09-30,7.01,$0.41,17.28
2020-06-30,5.2,$0.31,16.96
2020-03-31,3.16,$0.28,11.43
2019-12-31,5.47,$0.27,20.5
2019-09-30,3.75,$0.24,15.62
2019-06-30,2.37,$0.22,10.77
2019-03-31,2.44,$0.21,11.54
2018-12-31,2.01,$0.20,9.85
2018-09-30,2.35,$0.27,8.81
2018-06-30,2.54,$0.26,9.62
2018-03-31,2.55,$0.24,10.7
2017-12-31,2.48,$0.24,10.46
2017-09-30,2.55,$0.19,13.44
2017-06-30,3.03,$0.23,13.42
2017-03-31,0.61,$0.24,2.51
2016-12-31,0.61,$0.19,3.21
2016-09-30,0.61,$0.13,4.69
2016-06-30,0.61,$0.02,35.96
2016-03-31,0.61,$-0.03,0.0
2015-12-31,0.61,$0.01,61.13
2015-09-30,0.61,$0.04,14.59
2015-06-30,1.02,$0.10,10.69
2015-03-31,1.11,$0.10,11.16
2014-12-31,1.21,$0.07,17.65
2014-09-30,1.48,$0.07,21.83
2014-06-30,1.97,$-0.07,0.0
2014-03-31,1.81,$-0.11,0.0
2013-12-31,2.12,$0.09,23.28
2013-09-30,3.02,$0.22,13.46
2013-06-30,2.61,$0.31,8.34
2013-03-31,3.63,$0.31,11.86
2012-12-31,4.73,$0.13,36.67
2012-09-30,5.99,$0.11,56.49
2012-06-30,5.11,$0.07,72.07
2012-03-31,6.37,$0.25,25.51
2011-12-31,5.91,$0.45,13.12
2011-09-30,7.31,$0.48,15.36
2011-06-30,8.67,$0.60,14.41
2011-03-31,13.46,$0.54,25.03
2010-12-31,11.86,$0.36,32.69
2010-09-30,7.65,$0.28,27.49
2010-06-30,6.12,$0.29,21.39
2010-03-31,6.36,$0.23,27.11
2009-12-31,6.1,$0.24,25.73
