Hyster-Yale Price to Free Cash Flow Ratio Historical Data,Hyster-Yale Price to Free Cash Flow Ratio Historical Data,Hyster-Yale Price to Free Cash Flow Ratio Historical Data,Hyster-Yale Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,46.29,,6.57
2024-12-31,50.93,$7.04,7.23
2024-09-30,63.38,$5.19,12.22
2024-06-30,68.92,$4.79,14.4
2024-03-31,63.42,$7.26,8.73
2023-12-31,61.13,$6.74,9.07
2023-09-30,43.52,$4.88,8.92
2023-06-30,54.13,$3.64,14.86
2023-03-31,48.03,$-1.83,0.0
2022-12-31,24.16,$0.78,31.18
2022-09-30,20.31,$-3.61,0.0
2022-06-30,30.09,$-11.45,0.0
2022-03-31,30.75,$-11.34,0.0
2021-12-31,37.71,$-17.46,0.0
2021-09-30,45.74,$-8.36,0.0
2021-06-30,66.05,$2.58,25.61
2021-03-31,78.51,$7.93,9.9
2020-12-31,53.47,$7.33,7.29
2020-09-30,33.16,$7.33,4.53
2020-06-30,34.24,$5.27,6.5
2020-03-31,35.2,$0.14,254.36
2019-12-31,51.43,$2.07,24.79
2019-09-30,47.49,$-4.81,0.0
2019-06-30,47.67,$-5.43,0.0
2019-03-31,53.42,$-1.03,0.0
2018-12-31,52.83,$2.09,25.28
2018-09-30,52.47,$3.90,13.45
2018-06-30,54.51,$2.26,24.1
2018-03-31,59.06,$3.05,19.39
2017-12-31,71.62,$7.57,9.46
2017-09-30,64.05,$3.07,20.83
2017-06-30,58.61,$4.70,12.48
2017-03-31,46.85,$2.09,22.47
2016-12-31,52.73,$-4.74,0.0
2016-09-30,49.5,$2.93,16.91
2016-06-30,48.7,$2.40,20.25
2016-03-31,54.25,$3.24,16.72
2015-12-31,42.52,$3.50,12.16
2015-09-30,46.65,$3.37,13.86
2015-06-30,55.63,$4.12,13.52
2015-03-31,58.62,$4.15,14.13
2014-12-31,58.32,$3.61,16.15
2014-09-30,56.85,$4.13,13.78
2014-06-30,70.03,$4.22,16.6
2014-03-31,76.87,$6.17,12.45
2013-12-31,73.27,$6.96,10.53
2013-09-30,70.31,$10.39,6.77
