Arrow Financial Price to Free Cash Flow Ratio Historical Data,Arrow Financial Price to Free Cash Flow Ratio Historical Data,Arrow Financial Price to Free Cash Flow Ratio Historical Data,Arrow Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.14,,13.59
2024-12-31,28.71,$1.92,14.93
2024-09-30,28.39,$0.69,41.06
2024-06-30,25.55,$0.80,32.02
2024-03-31,24.27,$0.87,27.97
2023-12-31,26.8,$0.95,28.17
2023-09-30,16.15,$2.40,6.72
2023-06-30,18.27,$2.54,7.18
2023-03-31,22.27,$2.60,8.57
2022-12-31,30.03,$2.75,10.91
2022-09-30,25.34,$2.83,8.97
2022-06-30,26.92,$2.91,9.26
2022-03-31,27.22,$3.37,8.08
2021-12-31,29.35,$3.67,7.99
2021-09-30,28.41,$3.89,7.31
2021-06-30,28.65,$3.74,7.66
2021-03-31,26.37,$2.71,9.74
2020-12-31,23.48,$2.34,10.02
2020-09-30,19.53,$2.08,9.4
2020-06-30,22.26,$1.97,11.29
2020-03-31,20.68,$2.36,8.75
2019-12-31,27.83,$2.14,12.98
2019-09-30,24.41,$2.00,12.18
2019-06-30,24.45,$2.13,11.46
2019-03-31,22.97,$2.12,10.83
2018-12-31,22.2,$2.30,9.63
2018-09-30,25.65,$2.56,10.02
2018-06-30,24.33,$2.31,10.55
2018-03-31,22.55,$2.32,9.73
2017-12-31,22.37,$2.19,10.2
2017-09-30,22.48,$2.12,10.59
2017-06-30,19.96,$2.26,8.83
2017-03-31,21.21,$2.09,10.13
2016-12-31,25.16,$2.13,11.83
2016-09-30,20.26,$2.13,9.51
2016-06-30,18.01,$1.93,9.35
2016-03-31,15.66,$1.90,8.25
2015-12-31,15.87,$1.78,8.91
2015-09-30,15.46,$1.74,8.89
2015-06-30,15.2,$1.80,8.44
2015-03-31,15.12,$1.90,7.96
2014-12-31,15.17,$1.86,8.14
2014-09-30,13.7,$1.99,6.87
2014-06-30,13.77,$2.02,6.8
2014-03-31,13.9,$2.15,6.47
2013-12-31,13.83,$2.23,6.2
2013-09-30,13.1,$1.82,7.21
2013-06-30,12.4,$1.79,6.92
2013-03-31,12.22,$1.66,7.35
2012-12-31,12.25,$1.59,7.71
2012-09-30,12.15,$1.49,8.13
2012-06-30,11.4,$1.39,8.21
2012-03-31,11.39,$1.39,8.22
2011-12-31,10.82,$1.95,5.54
2011-09-30,10.17,$1.46,6.96
2011-06-30,10.74,$1.50,7.16
2011-03-31,10.75,$1.44,7.48
2010-12-31,11.83,$0.61,19.36
2010-09-30,10.69,$1.11,9.65
2010-06-30,9.45,$0.97,9.76
2010-03-31,10.89,$1.20,9.05
2009-12-31,10.03,$1.14,8.82
