Atlantic Union Bankshares Price to Free Cash Flow Ratio Historical Data,Atlantic Union Bankshares Price to Free Cash Flow Ratio Historical Data,Atlantic Union Bankshares Price to Free Cash Flow Ratio Historical Data,Atlantic Union Bankshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,32.29,,9.2
2024-12-31,37.88,$3.51,10.8
2024-09-30,37.37,$3.06,12.2
2024-06-30,32.3,$4.12,7.84
2024-03-31,34.38,$4.30,7.99
2023-12-31,35.24,$4.39,8.02
2023-09-30,27.46,$4.96,5.53
2023-06-30,24.53,$4.89,5.01
2023-03-31,32.74,$5.10,6.42
2022-12-31,32.57,$5.74,5.67
2022-09-30,27.91,$5.79,4.82
2022-06-30,30.89,$5.42,5.7
2022-03-31,33.14,$4.92,6.74
2021-12-31,33.45,$4.51,7.42
2021-09-30,32.81,$3.71,8.83
2021-06-30,32.01,$2.94,10.9
2021-03-31,33.67,$3.06,11.0
2020-12-31,28.71,$2.62,10.97
2020-09-30,18.47,$3.16,5.85
2020-06-30,19.8,$3.52,5.63
2020-03-31,18.49,$2.84,6.52
2019-12-31,31.48,$2.38,13.23
2019-09-30,31.02,$2.46,12.61
2019-06-30,29.23,$2.90,10.08
2019-03-31,26.57,$3.02,8.81
2018-12-31,23.04,$3.41,6.76
2018-09-30,31.24,$2.50,12.48
2018-06-30,31.35,$2.15,14.56
2018-03-31,29.45,$1.78,16.59
2017-12-31,28.85,$2.31,12.5
2017-09-30,27.98,$2.49,11.25
2017-06-30,26.7,$2.02,13.25
2017-03-31,27.54,$2.60,10.59
2016-12-31,27.83,$1.99,13.96
2016-09-30,20.7,$2.19,9.45
2016-06-30,18.97,$2.51,7.57
2016-03-31,18.77,$2.44,7.71
2015-12-31,19.07,$2.36,8.06
2015-09-30,18.0,$2.06,8.76
2015-06-30,17.31,$2.46,7.03
2015-03-31,16.41,$1.97,8.33
2014-12-31,17.67,$2.60,6.79
2014-09-30,16.84,$2.89,5.82
2014-06-30,18.59,$3.44,5.4
2014-03-31,18.32,$4.65,3.94
2013-12-31,17.78,$6.08,2.92
2013-09-30,16.65,$5.20,3.2
2013-06-30,14.58,$1.94,7.52
2013-03-31,13.76,$0.67,20.49
2012-12-31,11.01,$-0.93,0.0
2012-09-30,10.78,$-0.94,0.0
2012-06-30,9.94,$1.12,8.85
2012-03-31,9.58,$1.82,5.28
2011-12-31,9.04,$2.52,3.59
2011-09-30,7.25,$3.53,2.06
2011-06-30,8.19,$3.37,2.43
2011-03-31,7.52,$2.47,3.04
2010-12-31,9.82,$1.72,5.7
2010-09-30,8.63,$-0.07,0.0
2010-06-30,8.06,$1.56,5.17
2010-03-31,9.9,$0.47,21.25
2009-12-31,8.08,$-0.34,0.0
