Cumberland Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Cumberland Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Cumberland Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Cumberland Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.88,,0.0
2024-12-31,2.37,$-0.05,0.0
2024-09-30,1.28,$-0.11,0.0
2024-06-30,1.53,$-0.06,0.0
2024-03-31,1.68,$0.36,4.71
2023-12-31,1.79,$0.41,4.41
2023-09-30,1.89,$0.60,3.17
2023-06-30,1.47,$0.69,2.14
2023-03-31,1.95,$0.48,4.05
2022-12-31,2.25,$0.57,3.92
2022-09-30,2.41,$0.45,5.41
2022-06-30,2.08,$0.26,7.94
2022-03-31,2.82,$0.29,9.7
2021-12-31,4.67,$0.42,11.16
2021-09-30,2.68,$0.34,7.86
2021-06-30,2.85,$0.40,7.06
2021-03-31,3.03,$0.41,7.42
2020-12-31,2.95,$0.35,8.48
2020-09-30,3.21,$0.35,9.3
2020-06-30,3.33,$0.33,9.98
2020-03-31,3.63,$0.26,13.74
2019-12-31,5.15,$0.18,28.22
2019-09-30,5.93,$0.35,16.81
2019-06-30,6.37,$0.20,31.61
2019-03-31,5.81,$0.14,42.97
2018-12-31,6.03,$0.17,35.43
2018-09-30,5.71,$-0.09,0.0
2018-06-30,6.13,$0.08,74.76
2018-03-31,6.68,$-0.13,0.0
2017-12-31,7.36,$-0.05,0.0
2017-09-30,7.06,$0.03,227.74
2017-06-30,7.0,$-0.01,0.0
2017-03-31,6.94,$0.08,90.36
2016-12-31,5.5,$0.03,203.7
2016-09-30,5.01,$0.05,96.16
2016-06-30,4.5,$0.06,69.77
2016-03-31,4.49,$0.26,17.47
2015-12-31,5.26,$0.34,15.68
2015-09-30,5.77,$0.41,13.95
2015-06-30,7.15,$0.50,14.31
2015-03-31,6.66,$0.42,15.75
2014-12-31,5.98,$0.36,16.39
2014-09-30,4.94,$0.20,24.42
2014-06-30,4.5,$0.04,112.5
2014-03-31,4.5,$0.00,0.0
2013-12-31,5.11,$0.04,144.35
2013-09-30,4.53,$0.14,33.14
2013-06-30,5.11,$0.28,18.43
2013-03-31,4.98,$0.29,16.89
2012-12-31,4.2,$0.34,12.46
2012-09-30,6.46,$0.30,21.86
2012-06-30,6.46,$0.33,19.5
2012-03-31,7.5,$0.49,15.21
2011-12-31,5.38,$0.41,13.07
2011-09-30,5.58,$0.32,17.59
2011-06-30,5.75,$0.19,29.78
2011-03-31,5.53,$0.01,409.63
2010-12-31,5.99,$-0.01,0.0
2010-09-30,5.81,$-0.07,0.0
2010-06-30,6.42,$0.02,339.68
