C3is Price to Free Cash Flow Ratio Historical Data,C3is Price to Free Cash Flow Ratio Historical Data,C3is Price to Free Cash Flow Ratio Historical Data,C3is Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.71,,0.06
2024-09-30,1.14,$12.65,0.09
2024-06-30,1.39,$-98.47,0.0
2024-03-31,0.03,$79.31,0.0
