Hasbro Price to Free Cash Flow Ratio Historical Data,Hasbro Price to Free Cash Flow Ratio Historical Data,Hasbro Price to Free Cash Flow Ratio Historical Data,Hasbro Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,60.38,,13.03
2024-12-31,55.91,$4.63,12.07
2024-09-30,71.51,$5.60,12.76
2024-06-30,57.24,$5.58,10.26
2024-03-31,54.68,$4.41,12.4
2023-12-31,48.7,$3.72,13.09
2023-09-30,62.12,$1.74,35.74
2023-06-30,60.18,$0.96,62.4
2023-03-31,49.31,$0.93,52.92
2022-12-31,55.37,$1.43,38.71
2022-09-30,60.54,$1.66,36.5
2022-06-30,72.88,$1.74,41.93
2022-03-31,72.34,$3.15,23.0
2021-12-31,89.22,$4.95,18.02
2021-09-30,77.66,$7.50,10.36
2021-06-30,81.71,$8.50,9.62
2021-03-31,82.53,$6.84,12.07
2020-12-31,79.74,$6.18,12.9
2020-09-30,69.94,$4.62,15.14
2020-06-30,62.79,$3.27,19.22
2020-03-31,59.38,$4.06,14.63
2019-12-31,87.07,$4.04,21.54
2019-09-30,97.17,$5.80,16.75
2019-06-30,86.04,$4.86,17.69
2019-03-31,68.76,$3.58,19.2
2018-12-31,65.26,$4.01,16.28
2018-09-30,83.85,$4.42,18.99
2018-06-30,73.17,$3.63,20.19
2018-03-31,66.35,$3.96,16.77
2017-12-31,71.11,$4.64,15.32
2017-09-30,75.94,$5.27,14.42
2017-06-30,86.24,$5.69,15.17
2017-03-31,76.76,$6.00,12.8
2016-12-31,59.46,$5.22,11.4
2016-09-30,60.27,$4.34,13.88
2016-06-30,63.41,$3.95,16.07
2016-03-31,60.11,$3.36,17.88
2015-12-31,50.24,$3.39,14.82
2015-09-30,53.49,$2.30,23.24
2015-06-30,55.14,$3.51,15.69
2015-03-31,46.32,$3.22,14.39
2014-12-31,39.96,$2.63,15.22
2014-09-30,39.67,$2.53,15.68
2014-06-30,37.94,$0.77,49.54
2014-03-31,39.47,$1.74,22.73
2013-12-31,38.73,$2.19,17.65
2013-09-30,32.93,$2.45,13.44
2013-06-30,31.05,$3.93,7.9
2013-03-31,30.18,$3.30,9.15
2012-12-31,24.66,$3.20,7.7
2012-09-30,25.71,$3.26,7.89
2012-06-30,22.59,$2.80,8.07
2012-03-31,24.25,$2.43,9.96
2011-12-31,20.88,$2.22,9.42
2011-09-30,21.19,$1.72,12.29
2011-06-30,28.33,$1.48,19.13
2011-03-31,30.01,$1.94,15.46
2010-12-31,30.05,$1.75,17.14
2010-09-30,28.2,$2.42,11.65
2010-06-30,25.88,$3.40,7.61
2010-03-31,23.96,$2.98,8.04
2009-12-31,19.93,$1.06,18.86
