My Size Price to Free Cash Flow Ratio Historical Data,My Size Price to Free Cash Flow Ratio Historical Data,My Size Price to Free Cash Flow Ratio Historical Data,My Size Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.23,,0.0
2024-09-30,1.68,$-6.25,0.0
2024-06-30,2.64,$-10.01,0.0
2024-03-31,3.41,$-10.11,0.0
2023-12-31,5.4,$-19.17,0.0
2023-09-30,6.91,$-22.09,0.0
2023-06-30,8.8,$-32.40,0.0
2023-03-31,14.16,$-22.89,0.0
2022-12-31,21.76,$-52.64,0.0
2022-09-30,40.0,$-132.08,0.0
2022-06-30,38.2,$-131.27,0.0
2022-03-31,69.0,$-152.95,0.0
2021-12-31,101.0,$-139.30,0.0
2021-09-30,274.0,$-153.29,0.0
2021-06-30,308.0,$-144.00,0.0
2021-03-31,232.0,$-118.57,0.0
2020-12-31,282.0,$-205.61,0.0
2020-09-30,206.0,$-245.86,0.0
2020-06-30,212.0,$-409.30,0.0
2020-03-31,325.0,$-546.10,0.0
2019-12-31,663.18,$-552.38,0.0
2019-09-30,1439.4,$-501.88,0.0
2019-06-30,2040.0,$-444.06,0.0
2019-03-31,2340.3,$-365.25,0.0
2018-12-31,2311.2,$-374.76,0.0
2018-09-30,3510.0,$-560.07,0.0
2018-06-30,2734.5,$-540.27,0.0
2018-03-31,4200.0,$-654.11,0.0
2017-12-31,1943.7,$-697.16,0.0
2017-09-30,2163.0,$-502.94,0.0
2017-06-30,3544.2,$-735.14,0.0
