NL Industries Price to Free Cash Flow Ratio Historical Data,NL Industries Price to Free Cash Flow Ratio Historical Data,NL Industries Price to Free Cash Flow Ratio Historical Data,NL Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.92,,13.27
2024-12-31,7.77,$0.60,13.02
2024-09-30,7.36,$0.74,9.88
2024-06-30,5.53,$0.76,7.31
2024-03-31,6.65,$0.72,9.19
2023-12-31,5.02,$0.73,6.83
2023-09-30,4.19,$0.58,7.2
2023-06-30,4.81,$0.66,7.28
2023-03-31,5.21,$0.59,8.78
2022-12-31,5.8,$0.48,12.19
2022-09-30,6.52,$0.31,20.88
2022-06-30,7.98,$0.26,30.16
2022-03-31,5.77,$0.27,21.18
2021-12-31,5.87,$0.28,21.2
2021-09-30,4.52,$0.36,12.67
2021-06-30,5.06,$0.37,13.68
2021-03-31,5.75,$0.32,18.03
2020-12-31,3.66,$0.35,10.33
2020-09-30,3.23,$0.35,9.15
2020-06-30,2.56,$0.37,6.89
2020-03-31,2.21,$0.54,4.12
2019-12-31,2.87,$0.50,5.76
2019-09-30,2.76,$0.18,15.56
2019-06-30,2.68,$0.40,6.78
2019-03-31,2.85,$0.29,9.86
2018-12-31,2.58,$0.29,8.99
2018-09-30,4.4,$0.47,9.32
2018-06-30,6.39,$0.40,16.08
2018-03-31,5.76,$0.32,17.89
2017-12-31,10.46,$0.32,32.2
2017-09-30,6.72,$0.45,14.88
2017-06-30,5.18,$0.56,9.28
2017-03-31,4.73,$0.55,8.68
2016-12-31,5.98,$0.50,11.9
2016-09-30,2.89,$0.48,5.99
2016-06-30,1.89,$0.39,4.9
2016-03-31,1.66,$0.47,3.56
2015-12-31,2.23,$0.48,4.61
2015-09-30,2.19,$0.34,6.5
2015-06-30,5.44,$0.55,9.86
2015-03-31,5.69,$0.44,12.85
2014-12-31,6.31,$0.44,14.39
2014-09-30,5.4,$0.56,9.65
2014-06-30,6.82,$0.32,21.35
2014-03-31,7.96,$0.29,27.26
2013-12-31,8.21,$0.23,35.15
2013-09-30,8.24,$0.31,26.38
2013-06-30,8.11,$0.32,25.5
2013-03-31,8.83,$0.64,13.79
2012-12-31,8.05,$0.66,12.12
2012-09-30,7.99,$0.92,8.67
2012-06-30,8.58,$0.87,9.84
2012-03-31,10.15,$0.55,18.54
2011-12-31,8.75,$0.93,9.44
2011-09-30,8.38,$0.66,12.79
2011-06-30,12.16,$0.66,18.45
2011-03-31,9.77,$0.52,18.63
2010-12-31,7.28,$0.07,107.72
2010-09-30,5.86,$-0.19,0.0
2010-06-30,3.87,$-0.18,0.0
2010-03-31,5.35,$0.13,41.14
2009-12-31,4.26,$0.22,19.07
