SHINECO Price to Free Cash Flow Ratio Historical Data,SHINECO Price to Free Cash Flow Ratio Historical Data,SHINECO Price to Free Cash Flow Ratio Historical Data,SHINECO Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.08,,0.0
2024-12-31,4.53,$-7.54,0.0
2024-09-30,5.91,$-9.86,0.0
2024-06-30,62.4,$-18.87,0.0
2024-03-31,15.87,$-47.68,0.0
2023-12-31,27.02,$157.60,0.17
2023-09-30,31.18,$-46.55,0.0
2023-06-30,81.6,$-69.63,0.0
2023-03-31,148.8,$-2.94,0.0
2022-12-31,571.18,$-229.42,0.0
2022-09-30,206.45,$-21.90,0.0
2022-06-30,312.0,$-144.89,0.0
2022-03-31,626.4,$-81.21,0.0
2021-12-31,1593.6,$-92.70,0.0
2021-09-30,2563.2,$-237.90,0.0
2021-06-30,1516.8,$-798.25,0.0
2021-03-31,981.6,"$-1,611.11",0.0
2020-12-31,733.2,"$-1,723.03",0.0
2020-09-30,643.2,"$-1,289.18",0.0
2020-06-30,1163.94,$-373.08,0.0
2020-03-31,950.4,$545.58,1.74
2019-12-31,1354.97,$435.35,3.11
2019-09-30,1144.8,$571.14,2.0
2019-06-30,1459.08,$322.74,4.52
2019-03-31,2808.0,$586.25,4.79
2018-12-31,1252.8,$529.90,2.36
2018-09-30,2159.78,$404.69,5.34
2018-06-30,3628.8,$832.25,4.36
2018-03-31,3499.2,$224.23,15.61
2017-12-31,4968.0,$406.28,12.23
2017-09-30,5594.4,$42.92,130.36
2017-06-30,6501.6,$-290.67,0.0
