TruBridge Price to Free Cash Flow Ratio Historical Data,TruBridge Price to Free Cash Flow Ratio Historical Data,TruBridge Price to Free Cash Flow Ratio Historical Data,TruBridge Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.0,,48.99
2024-09-30,11.96,$0.57,20.92
2024-06-30,10.0,$0.14,73.53
2024-03-31,9.22,$-0.77,0.0
2023-12-31,11.2,$0.05,222.66
2023-09-30,15.94,$1.06,15.08
2023-06-30,24.69,$1.63,15.1
2023-03-31,30.2,$2.09,14.48
2022-12-31,27.22,$2.24,12.17
2022-09-30,27.88,$3.02,9.22
2022-06-30,31.97,$2.32,13.77
2022-03-31,34.45,$3.16,10.9
2021-12-31,29.3,$3.27,8.96
2021-09-30,35.46,$3.49,10.15
2021-06-30,33.23,$3.98,8.36
2021-03-31,30.6,$3.80,8.06
2020-12-31,26.84,$3.26,8.23
2020-09-30,27.61,$3.42,8.07
2020-06-30,22.71,$3.40,6.69
2020-03-31,22.07,$2.89,7.64
2019-12-31,26.1,$3.04,8.59
2019-09-30,22.27,$2.38,9.34
2019-06-30,27.24,$2.34,11.65
2019-03-31,29.0,$2.01,14.45
2018-12-31,24.44,$1.69,14.45
2018-09-30,26.04,$1.41,18.47
2018-06-30,31.79,$1.10,28.79
2018-03-31,28.13,$1.21,23.23
2017-12-31,28.85,$1.71,16.89
2017-09-30,28.27,$1.68,16.82
2017-06-30,31.06,$1.94,15.99
2017-03-31,26.36,$0.82,32.2
2016-12-31,22.01,$0.16,141.16
2016-09-30,24.07,$0.22,111.28
2016-06-30,36.44,$0.58,63.21
2016-03-31,46.9,$1.60,29.27
2015-12-31,44.27,$2.75,16.12
2015-09-30,36.9,$3.44,10.74
2015-06-30,46.14,$3.64,12.67
2015-03-31,46.31,$3.42,13.56
2014-12-31,51.22,$3.40,15.07
2014-09-30,48.03,$3.61,13.32
2014-06-30,52.65,$3.23,16.28
2014-03-31,53.0,$3.18,16.66
2013-12-31,50.28,$2.31,21.76
2013-09-30,47.19,$2.12,22.21
2013-06-30,39.29,$2.01,19.54
2013-03-31,42.82,$2.13,20.08
2012-12-31,39.41,$2.54,15.54
2012-09-30,42.27,$1.37,30.79
2012-06-30,43.13,$1.46,29.59
2012-03-31,42.25,$1.50,28.1
2011-12-31,37.93,$2.06,18.44
2011-09-30,48.75,$2.57,18.95
2011-06-30,46.51,$2.34,19.92
2011-03-31,46.82,$2.19,21.35
2010-12-31,33.9,$1.33,25.55
2010-09-30,30.59,$1.15,26.66
2010-06-30,29.16,$0.63,46.62
2010-03-31,27.61,$0.83,33.09
2009-12-31,32.22,$0.73,44.21
