MultiSensor AI Holdings Price to Free Cash Flow Ratio Historical Data,MultiSensor AI Holdings Price to Free Cash Flow Ratio Historical Data,MultiSensor AI Holdings Price to Free Cash Flow Ratio Historical Data,MultiSensor AI Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.25,,0.32
2024-09-30,2.16,$3.86,0.56
2024-06-30,1.64,$1.32,1.24
2024-03-31,2.26,$0.82,2.75
2023-12-31,3.35,$-0.97,0.0
2023-09-30,10.69,$-6.14,0.0
2023-06-30,10.66,$-3.15,0.0
2023-03-31,10.38,$-2.63,0.0
2022-12-31,10.21,$-0.90,0.0
2022-09-30,10.02,$-0.16,0.0
