CF Bankshares Price to Free Cash Flow Ratio Historical Data,CF Bankshares Price to Free Cash Flow Ratio Historical Data,CF Bankshares Price to Free Cash Flow Ratio Historical Data,CF Bankshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.16,,10.04
2024-12-31,25.54,$2.21,11.57
2024-09-30,21.58,$1.48,14.59
2024-06-30,18.64,$2.06,9.04
2024-03-31,19.78,$1.71,11.56
2023-12-31,19.26,$2.70,7.14
2023-09-30,16.48,$2.49,6.61
2023-06-30,14.71,$2.11,6.96
2023-03-31,19.06,$3.66,5.21
2022-12-31,20.65,$5.95,3.47
2022-09-30,20.06,$12.82,1.56
2022-06-30,20.38,$37.45,0.54
2022-03-31,21.6,$65.16,0.33
2021-12-31,19.84,$37.70,0.53
2021-09-30,19.73,$24.97,0.79
2021-06-30,18.76,$-10.68,0.0
2021-03-31,19.19,$-51.09,0.0
2020-12-31,16.98,$-20.28,0.0
2020-09-30,11.57,$-24.46,0.0
2020-06-30,9.99,$-19.46,0.0
2020-03-31,10.08,$-14.10,0.0
2019-12-31,13.36,$-22.46,0.0
2019-09-30,11.92,$-11.63,0.0
2019-06-30,11.53,$-5.03,0.0
2019-03-31,12.28,$-3.14,0.0
2018-12-31,11.2,$-2.86,0.0
2018-09-30,14.85,$-3.70,0.0
2018-06-30,12.64,$-5.03,0.0
2018-03-31,12.22,$-1.21,0.0
2017-12-31,14.49,$1.04,13.96
2017-09-30,12.75,$0.08,166.65
2017-06-30,10.96,$1.33,8.23
2017-03-31,11.27,$0.95,11.87
2016-12-31,9.22,$0.60,15.42
2016-09-30,7.43,$-0.15,0.0
2016-06-30,7.16,$0.05,158.5
2016-03-31,7.11,$0.61,11.73
2015-12-31,6.95,$1.22,5.68
2015-09-30,7.06,$2.80,2.52
2015-06-30,6.9,$0.70,9.89
2015-03-31,7.38,$1.16,6.34
2014-12-31,6.43,$0.21,31.18
2014-09-30,7.01,$-0.45,0.0
2014-06-30,7.8,$-0.51,0.0
2014-03-31,8.16,$-0.97,0.0
2013-12-31,7.01,$-1.56,0.0
2013-09-30,7.43,$-1.64,0.0
2013-06-30,6.9,$5.58,1.24
2013-03-31,7.9,$-1.55,0.0
2012-12-31,7.64,$-0.86,0.0
2012-09-30,7.69,$6.30,1.22
2012-06-30,8.22,$-3.54,0.0
2012-03-31,20.55,$2.99,6.87
2011-12-31,16.33,$6.33,2.58
2011-09-30,25.02,$2.45,10.23
2011-06-30,21.07,$32.18,0.65
2011-03-31,34.24,$20.05,1.71
2010-12-31,13.43,$20.09,0.67
2010-09-30,25.02,$6.05,4.14
2010-06-30,40.56,$6.29,6.45
2010-03-31,31.34,$-2.33,0.0
2009-12-31,39.51,$-17.26,0.0
