Cameco Price to Free Cash Flow Ratio Historical Data,Cameco Price to Free Cash Flow Ratio Historical Data,Cameco Price to Free Cash Flow Ratio Historical Data,Cameco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,44.85,,69.14
2024-09-30,47.63,$0.65,73.42
2024-06-30,49.06,$0.90,54.32
2024-03-31,43.2,$0.63,68.69
2023-12-31,42.98,$0.91,47.25
2023-09-30,39.45,$0.72,54.53
2023-06-30,31.18,$0.58,53.73
2023-03-31,26.05,$0.34,75.54
2022-12-31,22.56,$0.31,73.73
2022-09-30,26.28,$0.27,95.79
2022-06-30,20.84,$0.52,40.09
2022-03-31,28.85,$0.94,30.68
2021-12-31,21.62,$0.73,29.54
2021-09-30,21.49,$1.12,19.17
2021-06-30,18.97,$0.61,31.24
2021-03-31,16.43,$-0.27,0.0
2020-12-31,13.25,$-0.04,0.0
2020-09-30,9.93,$0.01,0.0
2020-06-30,10.08,$0.58,17.47
2020-03-31,7.51,$1.03,7.26
2019-12-31,8.75,$0.86,10.16
2019-09-30,9.28,$0.48,19.29
2019-06-30,10.48,$0.58,18.01
2019-03-31,11.52,$0.81,14.23
2018-12-31,11.09,$1.19,9.28
2018-09-30,11.08,$1.66,6.69
2018-06-30,10.93,$1.40,7.78
2018-03-31,8.83,$1.52,5.81
2017-12-31,8.97,$0.94,9.51
2017-09-30,9.32,$0.78,12.01
2017-06-30,8.7,$1.18,7.38
2017-03-31,10.5,$0.73,14.34
2016-12-31,9.86,$0.19,52.94
2016-09-30,8.01,$0.68,11.74
2016-06-30,10.17,$-0.39,0.0
2016-03-31,11.82,$-0.46,0.0
2015-12-31,11.28,$0.22,52.37
2015-09-30,11.07,$-0.43,0.0
2015-06-30,12.91,$0.30,42.89
2015-03-31,12.52,$0.32,39.61
2014-12-31,14.67,$0.00,0.0
2014-09-30,15.7,$-0.21,0.0
2014-06-30,17.35,$-0.56,0.0
2014-03-31,20.16,$-0.71,0.0
2013-12-31,18.21,$-0.28,0.0
2013-09-30,15.77,$0.23,67.87
2013-06-30,17.94,$-0.16,0.0
2013-03-31,17.96,$-0.70,0.0
2012-12-31,16.97,$-0.21,0.0
2012-09-30,16.65,$-0.63,0.0
2012-06-30,18.69,$-0.17,0.0
2012-03-31,18.22,$0.53,34.23
2011-12-31,15.23,$0.22,70.41
2011-09-30,15.37,$0.03,563.07
2011-06-30,21.99,$-0.33,0.0
2011-03-31,24.97,$0.35,72.32
2010-12-31,33.46,$0.09,358.58
2010-09-30,22.93,$0.36,63.58
2010-06-30,17.56,$0.98,17.85
2010-03-31,22.54,$0.66,34.06
2009-12-31,26.39,$0.67,39.18
