Design Therapeutics Price to Free Cash Flow Ratio Historical Data,Design Therapeutics Price to Free Cash Flow Ratio Historical Data,Design Therapeutics Price to Free Cash Flow Ratio Historical Data,Design Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.64,,0.0
2024-12-31,6.17,$-0.77,0.0
2024-09-30,5.38,$-0.82,0.0
2024-06-30,3.35,$-0.91,0.0
2024-03-31,4.03,$-0.96,0.0
2023-12-31,2.65,$-1.05,0.0
2023-09-30,2.36,$-1.10,0.0
2023-06-30,6.3,$-1.09,0.0
2023-03-31,5.77,$-1.04,0.0
2022-12-31,10.26,$-0.94,0.0
2022-09-30,16.72,$-0.95,0.0
2022-06-30,14.0,$-0.86,0.0
2022-03-31,16.15,$-0.68,0.0
2021-12-31,21.41,$-0.67,0.0
