"Boise Cascade, L.L.C Price to Free Cash Flow Ratio Historical Data","Boise Cascade, L.L.C Price to Free Cash Flow Ratio Historical Data","Boise Cascade, L.L.C Price to Free Cash Flow Ratio Historical Data","Boise Cascade, L.L.C Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,100.43,,18.74
2024-12-31,118.86,$5.36,22.18
2024-09-30,140.78,$6.64,21.21
2024-06-30,114.28,$8.70,13.14
2024-03-31,147.02,$11.27,13.04
2023-12-31,123.8,$11.90,10.41
2023-09-30,94.14,$15.03,6.26
2023-06-30,82.39,$19.02,4.33
2023-03-31,55.26,$19.24,2.87
2022-12-31,59.86,$23.41,2.56
2022-09-30,51.04,$21.14,2.41
2022-06-30,50.97,$17.62,2.89
2022-03-31,57.57,$17.30,3.33
2021-12-31,58.91,$14.16,4.16
2021-09-30,42.61,$11.22,3.8
2021-06-30,44.33,$9.75,4.55
2021-03-31,45.39,$8.51,5.33
2020-12-31,36.19,$5.47,6.61
2020-09-30,29.05,$6.81,4.26
2020-06-30,27.31,$5.58,4.9
2020-03-31,17.22,$3.93,4.38
2019-12-31,26.38,$4.20,6.28
2019-09-30,22.87,$3.95,5.79
2019-06-30,19.67,$1.53,12.89
2019-03-31,18.65,$1.76,10.59
2018-12-31,16.57,$2.15,7.69
2018-09-30,25.48,$2.04,12.52
2018-06-30,30.21,$3.44,8.78
2018-03-31,26.05,$2.60,10.04
2017-12-31,26.88,$2.01,13.41
2017-09-30,23.47,$2.10,11.19
2017-06-30,20.44,$1.58,12.92
2017-03-31,17.95,$0.66,27.25
2016-12-31,15.13,$1.77,8.54
2016-09-30,17.08,$0.77,22.11
2016-06-30,15.43,$0.47,32.64
2016-03-31,13.93,$0.25,55.16
2015-12-31,17.17,$-0.10,0.0
2015-09-30,16.96,$0.45,37.7
2015-06-30,24.67,$0.56,44.31
2015-03-31,25.19,$1.24,20.29
2014-12-31,24.98,$1.15,21.71
2014-09-30,20.27,$1.32,15.34
2014-06-30,19.26,$1.43,13.5
2014-03-31,19.26,$0.59,32.48
2013-12-31,19.82,$-0.25,0.0
