Star Equity Holdings Price to Free Cash Flow Ratio Historical Data,Star Equity Holdings Price to Free Cash Flow Ratio Historical Data,Star Equity Holdings Price to Free Cash Flow Ratio Historical Data,Star Equity Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.28,,1.89
2024-09-30,4.12,$1.21,3.42
2024-06-30,4.54,$-1.35,0.0
2024-03-31,4.44,$-1.42,0.0
2023-12-31,5.23,$1.02,5.1
2023-09-30,4.9,$-0.09,0.0
2023-06-30,5.25,$-1.36,0.0
2023-03-31,4.65,$0.41,11.44
2022-12-31,4.27,$-1.56,0.0
2022-09-30,4.98,$1.21,4.12
2022-06-30,4.65,$1.63,2.85
2022-03-31,5.65,$-4.63,0.0
2021-12-31,12.75,$-6.99,0.0
2021-09-30,13.59,$-14.68,0.0
2021-06-30,15.5,$-16.21,0.0
2021-03-31,15.6,$-12.49,0.0
2020-12-31,17.95,$-8.59,0.0
2020-09-30,12.45,$0.09,144.1
2020-06-30,14.0,$0.70,20.08
2020-03-31,19.85,$-4.27,0.0
2019-12-31,13.0,$-11.17,0.0
2019-09-30,22.4,$-6.52,0.0
2019-06-30,34.55,$-5.80,0.0
2019-03-31,45.59,$6.04,7.55
2018-12-31,28.5,$12.39,2.3
2018-09-30,75.0,$7.65,9.81
2018-06-30,75.32,$8.14,9.25
2018-03-31,73.25,$6.30,11.63
2017-12-31,118.79,$9.26,12.82
2017-09-30,155.66,$11.30,13.77
2017-06-30,180.13,$16.97,10.62
2017-03-31,233.07,$16.56,14.08
2016-12-31,217.61,$12.25,17.77
2016-09-30,219.68,$9.03,24.31
2016-06-30,219.64,$4.85,45.26
2016-03-31,209.59,$5.36,39.1
2015-12-31,242.12,$5.88,41.2
2015-09-30,155.18,$7.77,19.98
2015-06-30,177.86,$10.49,16.95
2015-03-31,183.74,$14.46,12.7
2014-12-31,174.45,$8.28,21.08
2014-09-30,155.28,$8.29,18.74
2014-06-30,138.51,$15.01,9.23
2014-03-31,131.44,$5.42,24.25
2013-12-31,139.69,$8.28,16.87
2013-09-30,93.83,$6.46,14.52
2013-06-30,90.86,$-6.53,0.0
2013-03-31,93.83,$-5.25,0.0
2012-12-31,76.33,$-4.93,0.0
2012-09-30,77.08,$-9.28,0.0
2012-06-30,82.29,$-5.48,0.0
2012-03-31,78.2,$-3.23,0.0
2011-12-31,72.98,$1.10,66.05
2011-09-30,82.29,$8.59,9.58
2011-06-30,100.91,$3.84,26.25
2011-03-31,93.09,$1.06,87.97
2010-12-31,78.2,$-3.07,0.0
2010-09-30,75.96,$-5.12,0.0
2010-06-30,77.45,$-1.08,0.0
2010-03-31,76.33,$8.97,8.51
2009-12-31,78.2,$12.46,6.27
