Kuke Music Holding Price to Free Cash Flow Ratio Historical Data,Kuke Music Holding Price to Free Cash Flow Ratio Historical Data,Kuke Music Holding Price to Free Cash Flow Ratio Historical Data,Kuke Music Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.5,,inf
2024-06-30,1.34,0,0.0
2023-06-30,0.6,$2.56,0.23
2022-06-30,1.77,$0.74,2.38
2022-03-31,3.85,$2.56,1.5
2021-12-31,4.26,$2.56,1.66
