Vislink Technologies Price to Free Cash Flow Ratio Historical Data,Vislink Technologies Price to Free Cash Flow Ratio Historical Data,Vislink Technologies Price to Free Cash Flow Ratio Historical Data,Vislink Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-02-28,2.4,,0.0
2024-09-30,6.2,$-3.49,0.0
2024-06-30,4.35,$-3.70,0.0
2024-03-31,3.43,$-4.15,0.0
2023-12-31,3.88,$-4.39,0.0
2023-09-30,3.66,$-1.85,0.0
2023-06-30,5.66,$-2.05,0.0
2023-03-31,6.9,$-2.34,0.0
2022-12-31,11.2,$-4.23,0.0
2022-09-30,8.49,$-5.96,0.0
2022-06-30,11.9,$-4.63,0.0
2022-03-31,21.2,$-4.33,0.0
2021-12-31,23.6,$-4.51,0.0
2021-09-30,36.2,$-9.99,0.0
2021-06-30,57.0,$-12.67,0.0
2021-03-31,58.6,$-10.96,0.0
2020-12-31,26.4,$-19.73,0.0
2020-09-30,27.2,$-67.81,0.0
2020-06-30,74.1,$-40.68,0.0
2020-03-31,21.0,$-27.48,0.0
2019-12-31,30.54,$-117.22,0.0
2019-09-30,63.48,$-148.94,0.0
2019-06-30,192.0,$-211.78,0.0
2019-03-31,420.0,$-360.69,0.0
2018-12-31,373.2,$-450.95,0.0
2018-09-30,506.28,$-567.97,0.0
2018-06-30,768.0,$-804.10,0.0
2018-03-31,1248.0,$-618.85,0.0
2017-12-31,1944.0,$-480.28,0.0
2017-09-30,1944.0,$-286.13,0.0
2017-06-30,1956.0,$-8.54,0.0
2017-03-31,1944.0,$-51.96,0.0
2016-12-31,1620.0,$-13.14,0.0
2016-09-30,3456.0,$-119.52,0.0
2016-06-30,13200.0,$-122.74,0.0
2016-03-31,13680.0,$-137.21,0.0
2015-12-31,32184.0,$-124.12,0.0
2015-09-30,83520.0,$-10.28,0.0
2015-06-30,403343.98,$-11.26,0.0
2015-03-31,401759.98,$-7.02,0.0
2014-12-31,735407.96,$-6.58,0.0
2014-09-30,2822399.85,$-5.68,0.0
2014-06-30,2894399.85,$-4.92,0.0
2014-03-31,3945599.79,$-1.46,0.0
2013-12-31,2275199.88,$-1.53,0.0
2013-09-30,7055999.63,$-0.14,0.0
2013-06-30,12959999.33,$0.07,184615375.02
2013-03-31,17639999.08,$-0.31,0.0
