ATyr Pharma Price to Free Cash Flow Ratio Historical Data,ATyr Pharma Price to Free Cash Flow Ratio Historical Data,ATyr Pharma Price to Free Cash Flow Ratio Historical Data,ATyr Pharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.76,,0.0
2024-12-31,3.62,$-0.93,0.0
2024-09-30,1.76,$-0.98,0.0
2024-06-30,1.56,$-1.00,0.0
2024-03-31,1.95,$-0.99,0.0
2023-12-31,1.41,$-0.70,0.0
2023-09-30,1.58,$-0.87,0.0
2023-06-30,2.16,$-1.14,0.0
2023-03-31,2.1,$-1.21,0.0
2022-12-31,2.19,$-1.53,0.0
2022-09-30,3.0,$-1.47,0.0
2022-06-30,2.83,$-1.58,0.0
2022-03-31,5.35,$-1.69,0.0
2021-12-31,7.47,$-1.74,0.0
2021-09-30,9.08,$-2.03,0.0
2021-06-30,4.88,$-2.05,0.0
2021-03-31,4.45,$-2.38,0.0
2020-12-31,3.88,$-1.69,0.0
2020-09-30,3.23,$-3.10,0.0
2020-06-30,4.44,$-3.12,0.0
2020-03-31,2.8,$-3.20,0.0
2019-12-31,4.17,$-5.97,0.0
2019-09-30,3.5,$-6.14,0.0
2019-06-30,5.13,$-8.60,0.0
2019-03-31,7.7,$-12.07,0.0
2018-12-31,6.94,$-14.78,0.0
2018-09-30,11.38,$-18.21,0.0
2018-06-30,12.74,$-19.15,0.0
2018-03-31,37.1,$-20.53,0.0
2017-12-31,49.0,$-23.67,0.0
2017-09-30,70.7,$-24.98,0.0
2017-06-30,47.6,$-29.71,0.0
2017-03-31,49.0,$-32.38,0.0
2016-12-31,30.1,$-31.62,0.0
2016-09-30,44.52,$-41.45,0.0
2016-06-30,38.92,$-32.49,0.0
2016-03-31,55.16,$-40.72,0.0
