Marcus Price to Free Cash Flow Ratio Historical Data,Marcus Price to Free Cash Flow Ratio Historical Data,Marcus Price to Free Cash Flow Ratio Historical Data,Marcus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.66,,20.22
2024-12-31,21.5,$0.87,24.62
2024-09-30,15.02,$0.54,27.57
2024-06-30,11.28,$0.45,25.25
2024-03-31,14.05,$1.23,11.41
2023-12-31,14.3,$1.66,8.61
2023-09-30,15.13,$2.06,7.33
2023-06-30,14.41,$1.64,8.8
2023-03-31,15.49,$1.31,11.82
2022-12-31,13.89,$1.94,7.14
2022-09-30,13.36,$2.50,5.35
2022-06-30,14.17,$3.08,4.6
2022-03-31,16.98,$2.07,8.2
2021-12-31,17.13,$1.64,10.47
2021-09-30,16.74,$0.46,36.34
2021-06-30,20.35,$-0.89,0.0
2021-03-31,19.18,$-2.22,0.0
2020-12-31,12.93,$-2.75,0.0
2020-09-30,7.42,$-1.81,0.0
2020-06-30,12.73,$-0.68,0.0
2020-03-31,11.82,$1.81,6.52
2019-12-31,30.28,$2.49,12.19
2019-09-30,35.1,$2.78,12.63
2019-06-30,31.11,$2.87,10.86
2019-03-31,37.63,$2.70,13.94
2018-12-31,36.98,$2.75,13.47
2018-09-30,39.22,$2.19,17.93
2018-06-30,30.2,$1.62,18.59
2018-03-31,28.07,$-0.31,0.0
2017-12-31,25.16,$-0.04,0.0
2017-09-30,25.37,$-0.65,0.0
2017-06-30,27.52,$-0.37,0.0
2017-03-31,29.14,$0.37,79.26
2016-12-31,28.48,$0.02,1306.28
2016-09-30,22.55,$-1.39,0.0
2016-06-30,18.91,$0.13,143.94
2016-03-31,16.89,$-0.36,0.0
2015-12-31,16.8,$0.50,33.39
2015-11-30,17.62,$0.94,18.78
2015-09-30,17.04,$0.20,83.58
2015-08-31,17.1,$0.14,120.02
2015-06-30,16.81,$-0.17,0.0
2015-05-31,17.18,$0.50,34.03
2015-03-31,18.57,$-0.17,0.0
2015-02-28,17.0,$0.04,398.11
2014-11-30,14.29,$0.30,47.01
2014-08-31,15.71,$0.30,52.49
2014-05-31,14.42,$0.65,22.02
2014-02-28,12.04,$0.23,52.47
2013-11-30,12.38,$0.65,18.9
2013-08-31,10.37,$1.06,9.74
2013-05-31,10.76,$0.92,11.69
2013-02-28,10.22,$1.01,10.09
2012-11-30,9.06,$0.92,9.85
2012-08-31,9.8,$0.30,32.75
2012-05-31,10.05,$0.75,13.34
2012-02-29,9.02,$0.78,11.55
2011-11-30,9.1,$0.75,12.09
2011-08-31,7.21,$0.70,10.25
2011-05-31,7.67,$0.63,12.17
2011-02-28,9.44,$0.41,23.25
2010-11-30,9.32,$0.63,14.79
2010-08-31,7.85,$0.59,13.21
2010-05-31,7.76,$0.33,23.87
2010-02-28,8.6,$0.14,62.51
2009-11-30,8.66,$0.33,26.63
