Cryo-Cell Price to Free Cash Flow Ratio Historical Data,Cryo-Cell Price to Free Cash Flow Ratio Historical Data,Cryo-Cell Price to Free Cash Flow Ratio Historical Data,Cryo-Cell Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.41,,14.59
2024-11-30,8.67,$0.44,19.74
2024-08-31,6.02,$0.37,16.11
2024-05-31,7.98,$-0.06,0.0
2024-02-29,5.05,$0.00,0.0
2023-11-30,5.2,$0.25,20.83
2023-08-31,5.82,$0.57,10.2
2023-05-31,4.71,$-0.28,0.0
2023-02-28,3.71,$-0.15,0.0
2022-11-30,4.24,$-0.20,0.0
2022-08-31,6.34,$-0.53,0.0
2022-05-31,5.28,$1.02,5.17
