Eyenovia Price to Free Cash Flow Ratio Historical Data,Eyenovia Price to Free Cash Flow Ratio Historical Data,Eyenovia Price to Free Cash Flow Ratio Historical Data,Eyenovia Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.44,,0.0
2024-09-30,0.52,$-39.53,0.0
2024-06-30,0.59,$-50.50,0.0
2024-03-31,0.99,$-52.53,0.0
2023-12-31,2.08,$-52.02,0.0
2023-09-30,1.66,$-55.25,0.0
2023-06-30,2.37,$-59.15,0.0
2023-03-31,3.53,$-56.07,0.0
2022-12-31,1.63,$-61.77,0.0
2022-09-30,1.96,$-65.54,0.0
2022-06-30,1.95,$-67.39,0.0
2022-03-31,3.05,$-75.20,0.0
2021-12-31,4.0,$-68.36,0.0
2021-09-30,4.9,$-31.45,0.0
2021-06-30,4.96,$-17.25,0.0
2021-03-31,5.11,$-13.00,0.0
2020-12-31,6.06,$-25.25,0.0
2020-09-30,3.12,$-76.36,0.0
2020-06-30,2.84,$-73.57,0.0
2020-03-31,2.3,$-94.61,0.0
2019-12-31,4.48,$-106.40,0.0
2019-09-30,3.7,$-112.55,0.0
2019-06-30,4.3,$-140.85,0.0
2019-03-31,5.99,$-125.19,0.0
2018-12-31,2.85,$-110.91,0.0
