Arbe Robotics Price to Free Cash Flow Ratio Historical Data,Arbe Robotics Price to Free Cash Flow Ratio Historical Data,Arbe Robotics Price to Free Cash Flow Ratio Historical Data,Arbe Robotics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.3,,0.0
2024-09-30,1.91,$-0.49,0.0
2024-06-30,1.91,$-0.44,0.0
2024-03-31,2.09,$-0.50,0.0
2023-12-31,2.18,$-0.54,0.0
2023-09-30,2.33,$-0.60,0.0
2023-06-30,2.89,$-0.66,0.0
2023-03-31,3.19,$-0.64,0.0
2022-12-31,3.41,$-0.68,0.0
2022-09-30,6.0,$-0.10,0.0
2022-06-30,5.5,$-0.49,0.0
2022-03-31,6.96,$-0.97,0.0
2021-12-31,9.3,$-1.23,0.0
2021-09-30,9.93,$-1.64,0.0
