Richardson Electronics Price to Free Cash Flow Ratio Historical Data,Richardson Electronics Price to Free Cash Flow Ratio Historical Data,Richardson Electronics Price to Free Cash Flow Ratio Historical Data,Richardson Electronics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.46,,23.11
2024-11-30,14.08,$0.54,26.11
2024-08-31,11.8,$0.14,81.56
2024-05-31,11.09,$0.17,64.79
2024-02-29,8.66,$-0.21,0.0
2023-11-30,12.75,$-0.45,0.0
2023-08-31,12.26,$-0.74,0.0
2023-05-31,16.08,$-1.05,0.0
2023-02-28,20.25,$-0.93,0.0
2022-11-30,24.5,$-0.62,0.0
2022-08-31,15.59,$0.01,0.0
2022-05-31,13.37,$-0.09,0.0
2022-02-28,11.2,$-0.55,0.0
2021-11-30,10.41,$-0.25,0.0
2021-08-31,8.34,$-0.25,0.0
2021-05-31,8.0,$-0.14,0.0
2021-02-28,5.82,$0.44,13.26
2020-11-30,4.19,$0.17,25.18
2020-08-31,4.12,$-0.12,0.0
2020-05-31,3.76,$0.01,335.44
2020-02-29,3.94,$-0.13,0.0
2019-11-30,4.93,$-0.29,0.0
2019-08-31,5.03,$-0.32,0.0
2019-05-31,4.33,$-0.49,0.0
2019-02-28,6.29,$-0.47,0.0
2018-11-30,6.01,$-0.17,0.0
2018-08-31,7.5,$-0.26,0.0
2018-05-31,8.03,$-0.18,0.0
2018-02-28,6.58,$-0.04,0.0
2017-11-30,5.48,$-0.24,0.0
2017-08-31,4.51,$-0.24,0.0
2017-05-31,4.82,$-0.27,0.0
2017-02-28,4.89,$-0.61,0.0
2016-11-30,4.72,$-0.99,0.0
2016-08-31,5.46,$-1.15,0.0
2016-05-31,3.99,$-1.41,0.0
2016-02-29,3.71,$-1.71,0.0
2015-11-30,4.22,$-1.57,0.0
2015-08-31,4.61,$-1.52,0.0
2015-05-31,6.36,$-1.05,0.0
2015-02-28,6.67,$-0.38,0.0
2014-11-30,7.34,$-0.06,0.0
2014-08-31,7.34,$0.14,51.98
2014-05-31,7.29,$0.13,56.41
2014-02-28,7.83,$-0.03,0.0
2013-11-30,7.96,$0.14,56.86
2013-08-31,7.75,$0.47,16.42
2013-05-31,8.38,$0.38,21.8
2013-02-28,8.34,$0.41,20.53
2012-11-30,7.6,$0.03,257.59
2012-08-31,8.26,$-0.29,0.0
2012-05-31,7.93,$-2.44,0.0
2012-02-29,8.39,$-2.23,0.0
2011-11-30,8.43,$-2.40,0.0
2011-08-31,9.39,$-2.26,0.0
2011-05-31,9.27,$0.08,122.92
2011-02-28,8.76,$-0.15,0.0
2010-11-30,7.21,$1.23,5.87
2010-08-31,5.91,$1.42,4.16
2010-05-31,6.53,$1.30,5.02
2010-02-28,5.26,$1.64,3.21
2009-11-30,3.97,$0.75,5.28
