Seadrill Price to Free Cash Flow Ratio Historical Data,Seadrill Price to Free Cash Flow Ratio Historical Data,Seadrill Price to Free Cash Flow Ratio Historical Data,Seadrill Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,25.12,,5.68
2024-12-31,38.93,$4.42,8.8
2024-09-30,39.74,$5.98,6.65
2024-06-30,51.5,$7.70,6.69
2024-03-31,50.3,$2.63,19.11
2023-12-31,47.28,$2.70,17.49
2023-09-30,44.79,$0.42,105.49
