Altria Price to Free Cash Flow Ratio Historical Data,Altria Price to Free Cash Flow Ratio Historical Data,Altria Price to Free Cash Flow Ratio Historical Data,Altria Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,58.09,,11.59
2024-12-31,52.29,$5.01,10.43
2024-09-30,51.04,$4.90,10.41
2024-06-30,44.67,$5.02,8.89
2024-03-31,41.85,$5.09,8.22
2023-12-31,37.84,$5.12,7.4
2023-09-30,38.51,$4.75,8.11
2023-06-30,40.58,$4.78,8.49
2023-03-31,39.14,$4.44,8.82
2022-12-31,39.24,$4.46,8.79
2022-09-30,33.97,$4.45,7.63
2022-06-30,34.36,$4.41,7.79
2022-03-31,42.17,$4.51,9.35
2021-12-31,37.6,$4.46,8.42
2021-09-30,35.43,$4.39,8.07
2021-06-30,36.44,$3.20,11.38
2021-03-31,38.41,$4.35,8.82
2020-12-31,30.26,$4.39,6.9
2020-09-30,27.94,$4.38,6.38
2020-06-30,27.82,$5.43,5.13
2020-03-31,26.84,$4.52,5.94
2019-12-31,33.76,$4.06,8.31
2019-09-30,27.21,$3.64,7.48
2019-06-30,30.89,$3.56,8.68
2019-03-31,36.88,$4.06,9.09
2018-12-31,31.27,$4.32,7.24
2018-09-30,37.56,$3.78,9.94
2018-06-30,34.91,$3.48,10.02
2018-03-31,37.84,$2.55,14.86
2017-12-31,42.89,$2.45,17.52
2017-09-30,37.75,$2.21,17.12
2017-06-30,43.86,$2.31,19.01
2017-03-31,41.73,$1.85,22.56
2016-12-31,39.19,$1.86,21.03
2016-09-30,36.32,$2.60,13.97
2016-06-30,39.23,$2.80,14.04
2016-03-31,35.34,$2.99,11.81
2015-12-31,32.53,$2.86,11.36
2015-09-30,30.11,$2.79,10.79
2015-06-30,26.78,$2.51,10.68
2015-03-31,27.1,$2.46,10.99
2014-12-31,26.43,$2.28,11.62
2014-09-30,24.39,$2.23,10.95
2014-06-30,22.0,$2.28,9.67
2014-03-31,19.41,$2.36,8.24
2013-12-31,19.65,$2.12,9.25
2013-09-30,17.36,$2.23,7.77
2013-06-30,17.44,$2.12,8.23
2013-03-31,16.93,$1.79,9.48
2012-12-31,15.28,$1.86,8.22
2012-09-30,16.01,$1.48,10.8
2012-06-30,16.35,$1.41,11.58
2012-03-31,14.43,$1.60,9.04
2011-12-31,13.67,$1.68,8.12
2011-09-30,12.2,$1.69,7.22
2011-06-30,11.83,$1.35,8.73
2011-03-31,11.5,$1.27,9.06
2010-12-31,10.71,$1.25,8.57
2010-09-30,10.29,$1.42,7.27
2010-06-30,8.45,$1.63,5.2
2010-03-31,8.5,$1.53,5.57
2009-12-31,8.0,$1.53,5.23
