Safety Insurance Price to Free Cash Flow Ratio Historical Data,Safety Insurance Price to Free Cash Flow Ratio Historical Data,Safety Insurance Price to Free Cash Flow Ratio Historical Data,Safety Insurance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,77.13,,8.37
2024-12-31,82.4,$9.22,8.94
2024-09-30,80.93,$7.57,10.7
2024-06-30,73.48,$4.78,15.36
2024-03-31,79.55,$2.91,27.3
2023-12-31,72.76,$3.65,19.93
2023-09-30,64.53,$2.58,25.06
2023-06-30,67.0,$2.29,29.27
2023-03-31,68.76,$3.23,21.3
2022-12-31,76.89,$3.07,25.04
2022-09-30,73.71,$3.91,18.83
2022-06-30,86.88,$5.20,16.7
2022-03-31,80.51,$11.88,6.78
2021-12-31,74.55,$9.23,8.08
2021-09-30,68.68,$9.32,7.37
2021-06-30,67.1,$9.68,6.93
2021-03-31,71.46,$5.30,13.48
2020-12-31,65.35,$6.97,9.38
2020-09-30,57.24,$7.25,7.9
2020-06-30,62.4,$7.39,8.44
2020-03-31,68.28,$5.39,12.67
2019-12-31,73.99,$6.84,10.81
2019-09-30,80.28,$6.98,11.5
2019-06-30,74.67,$7.10,10.52
2019-03-31,67.81,$7.67,8.84
2018-12-31,63.09,$8.10,7.79
2018-09-30,68.48,$7.76,8.83
2018-06-30,64.73,$6.34,10.21
2018-03-31,57.72,$5.34,10.81
2017-12-31,59.71,$5.53,10.8
2017-09-30,56.12,$4.44,12.63
2017-06-30,49.68,$5.37,9.26
2017-03-31,50.45,$6.24,8.09
2016-12-31,52.53,$6.25,8.41
2016-09-30,47.44,$7.01,6.76
2016-06-30,43.01,$5.62,7.65
2016-03-31,39.38,$2.04,19.35
2015-12-31,38.43,$1.27,30.31
2015-09-30,36.46,$1.14,32.06
2015-06-30,38.34,$2.29,16.77
2015-03-31,39.21,$6.20,6.32
2014-12-31,41.52,$6.36,6.52
2014-09-30,34.56,$7.26,4.76
2014-06-30,32.53,$6.37,5.1
2014-03-31,33.7,$6.14,5.49
2013-12-31,34.86,$6.96,5.01
2013-09-30,32.45,$5.75,5.64
2013-06-30,29.37,$6.13,4.79
2013-03-31,29.43,$6.10,4.82
2012-12-31,27.29,$6.55,4.17
2012-09-30,26.76,$5.94,4.51
2012-06-30,23.4,$4.61,5.08
2012-03-31,23.68,$3.26,7.25
2011-12-31,22.76,$2.31,9.84
2011-09-30,21.0,$2.39,8.8
2011-06-30,23.05,$3.36,6.86
2011-03-31,25.0,$3.57,7.01
2010-12-31,25.61,$3.24,7.91
2010-09-30,22.31,$3.49,6.4
2010-06-30,19.41,$3.52,5.52
2010-03-31,19.54,$4.04,4.83
2009-12-31,18.59,$4.13,4.5
