Sutro Biopharma Price to Free Cash Flow Ratio Historical Data,Sutro Biopharma Price to Free Cash Flow Ratio Historical Data,Sutro Biopharma Price to Free Cash Flow Ratio Historical Data,Sutro Biopharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.8,,0.0
2024-12-31,1.84,$-2.53,0.0
2024-09-30,3.46,$-1.29,0.0
2024-06-30,2.93,$-1.05,0.0
2024-03-31,5.65,$-1.93,0.0
2023-12-31,4.29,$-1.93,0.0
2023-09-30,3.47,$-2.64,0.0
2023-06-30,4.65,$-0.76,0.0
2023-03-31,4.62,$-0.35,0.0
2022-12-31,8.08,$-0.08,0.0
2022-09-30,5.55,$-0.09,0.0
2022-06-30,5.21,$-2.06,0.0
2022-03-31,8.22,$-2.18,0.0
2021-12-31,14.88,$-2.10,0.0
2021-09-30,18.89,$-2.44,0.0
2021-06-30,18.59,$-2.18,0.0
2021-03-31,22.76,$-2.17,0.0
2020-12-31,21.71,$-2.30,0.0
2020-09-30,10.05,$-2.10,0.0
2020-06-30,7.76,$-2.45,0.0
2020-03-31,10.2,$-2.93,0.0
2019-12-31,11.0,$-2.98,0.0
2019-09-30,9.09,$-37.44,0.0
2019-06-30,11.38,$0.34,33.54
