Hydrofarm Holdings Price to Free Cash Flow Ratio Historical Data,Hydrofarm Holdings Price to Free Cash Flow Ratio Historical Data,Hydrofarm Holdings Price to Free Cash Flow Ratio Historical Data,Hydrofarm Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.89,,9.88
2024-12-31,0.58,$0.29,1.98
2024-09-30,0.69,$-0.77,0.0
2024-06-30,0.69,$1.89,0.36
2024-03-31,1.08,$2.17,0.5
2023-12-31,0.92,$0.64,1.43
2023-09-30,1.22,$2.20,0.55
2023-06-30,0.78,$1.93,0.4
2023-03-31,1.73,$3.54,0.49
2022-12-31,1.55,$3.06,0.51
2022-09-30,1.94,$-5.44,0.0
2022-06-30,3.48,$-10.85,0.0
2022-03-31,15.15,$-13.78,0.0
2021-12-31,28.29,$-11.74,0.0
2021-09-30,37.85,$-24.45,0.0
