Air Products And Chemicals Price to Free Cash Flow Ratio Historical Data,Air Products And Chemicals Price to Free Cash Flow Ratio Historical Data,Air Products And Chemicals Price to Free Cash Flow Ratio Historical Data,Air Products And Chemicals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,292.92,,0.0
2024-12-31,290.04,$-7.75,0.0
2024-09-30,295.94,$-5.71,0.0
2024-06-30,254.67,$-11.02,0.0
2024-03-31,239.1,$-11.61,0.0
2023-12-31,268.25,$-9.42,0.0
2023-09-30,275.9,$-6.27,0.0
2023-06-30,289.81,$-3.43,0.0
2023-03-31,276.27,$-0.37,0.0
2022-12-31,294.73,$0.26,1150.38
2022-09-30,221.35,$1.30,169.66
2022-06-30,227.14,$1.46,155.85
2022-03-31,234.47,$1.97,119.14
2021-12-31,283.62,$4.13,68.75
2021-09-30,237.57,$4.08,58.18
2021-06-30,265.3,$6.68,39.74
2021-03-31,258.1,$3.72,69.37
2020-12-31,249.32,$3.21,77.59
2020-09-30,270.48,$3.76,71.92
2020-06-30,218.28,$2.43,89.86
2020-03-31,179.46,$4.69,38.25
2019-12-31,209.85,$4.38,47.86
2019-09-30,197.16,$4.47,44.07
2019-06-30,200.12,$3.52,56.84
2019-03-31,167.95,$3.55,47.25
2018-12-31,139.92,$4.37,31.99
2018-09-30,146.04,$4.65,31.38
2018-06-30,135.25,$6.57,20.59
2018-03-31,137.15,$7.98,17.19
2017-12-31,140.53,$6.81,20.62
2017-09-30,127.98,$6.97,18.37
2017-06-30,121.07,$6.20,19.54
2017-03-31,113.73,$5.86,19.41
2016-12-31,120.06,$7.15,16.8
2016-09-30,114.77,$6.39,17.95
2016-06-30,108.44,$4.88,22.23
2016-03-31,109.3,$4.72,23.16
2015-12-31,98.14,$4.95,19.83
2015-09-30,95.64,$4.33,22.11
2015-06-30,101.92,$5.83,17.49
2015-03-31,112.02,$4.67,24.0
2014-12-31,106.24,$3.51,30.27
2014-09-30,95.39,$4.06,23.51
2014-06-30,93.71,$2.21,42.46
2014-03-31,86.21,$1.96,44.01
2013-12-31,80.43,$1.49,53.95
2013-09-30,76.2,$0.38,198.02
2013-06-30,65.04,$0.77,84.27
2013-03-31,61.41,$0.85,71.92
2012-12-31,58.74,$0.59,100.24
2012-09-30,57.38,$1.38,41.53
2012-06-30,55.58,$1.61,34.62
2012-03-31,62.69,$1.96,32.02
2011-12-31,57.77,$2.37,24.37
2011-09-30,51.44,$2.22,23.19
2011-06-30,63.91,$2.14,29.8
2011-03-31,59.93,$2.61,22.97
2010-12-31,60.05,$3.19,18.82
2010-09-30,54.39,$2.53,21.52
2010-06-30,42.31,$2.42,17.5
2010-03-31,47.92,$1.82,26.4
2009-12-31,52.18,$0.60,87.24
