Allied Gaming & Entertainment Price to Free Cash Flow Ratio Historical Data,Allied Gaming & Entertainment Price to Free Cash Flow Ratio Historical Data,Allied Gaming & Entertainment Price to Free Cash Flow Ratio Historical Data,Allied Gaming & Entertainment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.14,,0.0
2024-09-30,1.37,$-0.46,0.0
2024-06-30,1.27,$-0.25,0.0
2024-03-31,1.01,$-0.25,0.0
2023-12-31,1.06,$-0.23,0.0
2023-09-30,0.91,$-0.19,0.0
2023-06-30,1.05,$-0.20,0.0
2023-03-31,1.21,$-0.25,0.0
2022-12-31,1.05,$-0.28,0.0
2022-09-30,1.17,$-0.28,0.0
2022-06-30,1.43,$-0.35,0.0
2022-03-31,1.73,$-0.32,0.0
2021-12-31,1.71,$-0.26,0.0
2021-09-30,1.77,$-0.23,0.0
2021-06-30,2.3,$-0.11,0.0
2021-03-31,2.88,$-0.15,0.0
2020-12-31,1.58,$-0.19,0.0
2020-09-30,1.26,$-0.17,0.0
2020-06-30,2.11,$-0.20,0.0
2020-03-31,1.57,$-0.30,0.0
2019-12-31,2.6,$-0.55,0.0
2019-09-30,5.23,$-0.87,0.0
2019-06-30,10.25,$-3.15,0.0
2019-03-31,10.21,$-2.99,0.0
2018-12-31,10.04,$-2.74,0.0
2018-09-30,9.85,$-2.42,0.0
