Primis Financial Price to Free Cash Flow Ratio Historical Data,Primis Financial Price to Free Cash Flow Ratio Historical Data,Primis Financial Price to Free Cash Flow Ratio Historical Data,Primis Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.12,,2.04
2024-09-30,12.18,$4.95,2.46
2024-06-30,10.48,$4.67,2.24
2024-03-31,12.17,$1.57,7.75
2023-12-31,12.66,$1.09,11.6
2023-09-30,8.15,$-1.95,0.0
2023-06-30,8.42,$-1.48,0.0
2023-03-31,9.63,$-0.12,0.0
2022-12-31,11.85,$0.51,23.36
2022-09-30,12.13,$1.11,10.89
2022-06-30,13.53,$1.08,12.55
2022-03-31,13.78,$0.85,16.2
2021-12-31,14.72,$1.10,13.33
2021-09-30,14.06,$1.73,8.15
2021-06-30,14.75,$-0.08,0.0
2021-03-31,13.96,$1.21,11.53
2020-12-31,10.98,$1.25,8.81
