FAT Brands Price to Free Cash Flow Ratio Historical Data,FAT Brands Price to Free Cash Flow Ratio Historical Data,FAT Brands Price to Free Cash Flow Ratio Historical Data,FAT Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.04,,0.0
2024-12-31,5.32,$-4.64,0.0
2024-09-30,4.92,$-5.08,0.0
2024-06-30,5.13,$-4.92,0.0
2024-03-31,7.6,$-4.37,0.0
2023-12-31,6.06,$-3.28,0.0
2023-09-30,6.56,$-2.75,0.0
2023-06-30,6.88,$-2.92,0.0
2023-03-31,7.05,$-3.50,0.0
2022-12-31,4.95,$-3.57,0.0
2022-09-30,7.41,$-3.00,0.0
2022-06-30,7.34,$-2.24,0.0
2022-03-31,7.23,$-1.13,0.0
2021-12-31,10.12,$-0.38,0.0
2021-09-30,8.81,$-0.74,0.0
2021-06-30,13.63,$-1.17,0.0
2021-03-31,6.9,$-0.87,0.0
2020-12-31,5.43,$-1.00,0.0
2020-09-30,5.15,$-0.55,0.0
2020-06-30,3.15,$-0.12,0.0
2020-03-31,2.1,$0.01,0.0
2019-12-31,4.15,$0.13,31.69
2019-09-30,4.63,$0.15,31.13
2019-06-30,3.75,$0.12,30.22
2019-03-31,4.68,$-0.07,0.0
2018-12-31,4.2,$0.15,27.29
2018-09-30,7.34,$0.02,384.47
