Addentax Group Price to Free Cash Flow Ratio Historical Data,Addentax Group Price to Free Cash Flow Ratio Historical Data,Addentax Group Price to Free Cash Flow Ratio Historical Data,Addentax Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.84,,2.07
2024-12-31,0.61,$0.41,1.51
2024-09-30,0.71,$0.39,1.83
2024-06-30,0.78,$0.17,4.62
2024-03-31,0.91,$-0.12,0.0
2023-12-31,1.44,$-0.41,0.0
2023-09-30,1.35,$-0.42,0.0
2023-06-30,6.57,$-0.38,0.0
