Deckers Outdoor Price to Free Cash Flow Ratio Historical Data,Deckers Outdoor Price to Free Cash Flow Ratio Historical Data,Deckers Outdoor Price to Free Cash Flow Ratio Historical Data,Deckers Outdoor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,115.67,,17.5
2024-12-31,203.09,$6.61,30.73
2024-09-30,159.45,$5.55,28.73
2024-06-30,161.33,$6.03,26.76
2024-03-31,156.88,$6.04,25.98
2023-12-31,111.41,$6.58,16.92
2023-09-30,85.68,$4.89,17.52
2023-06-30,87.94,$3.71,23.74
2023-03-31,74.93,$2.85,26.28
2022-12-31,66.53,$2.25,29.55
2022-09-30,52.1,$0.29,180.78
2022-06-30,42.56,$0.78,54.58
2022-03-31,45.63,$0.73,62.69
2021-12-31,61.05,$1.49,40.94
2021-09-30,60.03,$2.29,26.21
2021-06-30,64.01,$2.93,21.84
2021-03-31,55.07,$3.31,16.64
2020-12-31,47.8,$3.15,15.19
2020-09-30,36.67,$2.65,13.86
2020-06-30,32.73,$1.86,17.63
2020-03-31,22.33,$1.48,15.12
2019-12-31,28.14,$1.65,17.06
2019-09-30,24.56,$1.47,16.69
2019-06-30,29.33,$1.53,19.18
2019-03-31,24.5,$1.84,13.3
2018-12-31,21.33,$1.78,11.97
2018-09-30,19.76,$1.55,12.74
2018-06-30,18.82,$1.59,11.85
2018-03-31,15.01,$1.52,9.84
2017-12-31,13.38,$1.33,10.09
2017-09-30,11.4,$1.45,7.88
2017-06-30,11.38,$1.07,10.64
2017-03-31,9.96,$0.80,12.48
2016-12-31,9.23,$0.48,19.3
2016-09-30,9.93,$0.52,19.2
2016-06-30,9.59,$0.22,43.7
2016-03-31,9.99,$0.30,33.78
2015-12-31,7.87,$0.31,25.36
2015-09-30,9.68,$-0.07,0.0
2015-06-30,12.0,$0.53,22.83
2015-03-31,12.15,$0.38,32.24
2014-12-31,15.17,$0.71,21.45
2014-09-30,16.2,$-0.25,0.0
2014-06-30,14.39,$-0.11,0.0
2014-03-31,13.29,$0.15,91.08
2013-12-31,14.08,$0.02,804.38
2013-09-30,10.99,$0.02,722.81
2013-06-30,8.42,$-0.15,0.0
2013-03-31,9.28,$0.02,530.38
2012-12-31,6.71,$0.07,99.14
2012-09-30,6.11,$0.08,79.0
2012-06-30,7.34,$0.49,15.1
2012-03-31,10.51,$0.07,155.22
2011-12-31,12.6,$-0.01,0.0
2011-09-30,15.53,$-0.72,0.0
2011-06-30,14.69,$-0.39,0.0
2011-03-31,14.36,$-0.01,0.0
2010-12-31,13.29,$0.08,169.52
2010-09-30,8.33,$-0.05,0.0
2010-06-30,7.94,$0.14,58.06
2010-03-31,7.67,$0.08,97.79
2009-12-31,5.65,$0.16,36.32
