United Homes Price to Free Cash Flow Ratio Historical Data,United Homes Price to Free Cash Flow Ratio Historical Data,United Homes Price to Free Cash Flow Ratio Historical Data,United Homes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.58,,0.0
2024-09-30,6.14,$-0.44,0.0
2024-06-30,5.69,$-0.67,0.0
2024-03-31,6.99,$-0.39,0.0
2023-12-31,8.43,$0.51,16.66
2023-09-30,5.6,$1.09,5.12
2023-06-30,11.16,$0.74,15.13
2023-03-31,20.8,$1.23,16.92
2022-12-31,10.05,$0.90,11.22
2022-09-30,9.85,$0.49,19.91
2022-06-30,9.83,$1.01,9.73
2022-03-31,9.79,$0.18,55.63
2021-12-31,9.74,$-0.16,0.0
