First Bancorp (ME) Price to Free Cash Flow Ratio Historical Data,First Bancorp (ME) Price to Free Cash Flow Ratio Historical Data,First Bancorp (ME) Price to Free Cash Flow Ratio Historical Data,First Bancorp (ME) Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.95,,11.31
2024-12-31,27.35,$2.21,12.4
2024-09-30,25.95,$2.20,11.78
2024-06-30,24.14,$2.11,11.42
2024-03-31,23.59,$2.52,9.35
2023-12-31,26.68,$3.09,8.62
2023-09-30,21.9,$2.93,7.46
2023-06-30,22.36,$3.35,6.68
2023-03-31,23.47,$3.37,6.96
2022-12-31,26.84,$3.61,7.43
2022-09-30,24.41,$3.85,6.34
2022-06-30,26.39,$3.82,6.9
2022-03-31,26.06,$4.03,6.47
2021-12-31,26.95,$4.82,5.59
2021-09-30,24.74,$4.41,5.61
2021-06-30,24.73,$4.06,6.09
2021-03-31,24.26,$3.06,7.92
2020-12-31,20.85,$1.85,11.27
2020-09-30,17.06,$2.25,7.57
2020-06-30,17.31,$2.12,8.17
2020-03-31,17.33,$2.42,7.16
2019-12-31,23.58,$2.25,10.49
2019-09-30,21.21,$2.02,10.5
2019-06-30,20.48,$1.89,10.86
2019-03-31,18.8,$2.04,9.2
2018-12-31,19.41,$2.98,6.51
2018-09-30,21.17,$2.49,8.51
2018-06-30,20.42,$7.30,2.8
2018-03-31,20.08,$2.58,7.78
2017-12-31,19.37,$1.87,10.36
2017-09-30,21.39,$2.16,9.91
2017-06-30,18.93,$-2.65,0.0
2017-03-31,18.9,$1.74,10.83
2016-12-31,22.71,$1.76,12.9
2016-09-30,16.28,$1.72,9.46
2016-06-30,14.48,$1.75,8.29
2016-03-31,12.96,$1.87,6.91
2015-12-31,13.45,$1.84,7.31
2015-09-30,12.41,$1.99,6.23
2015-06-30,12.49,$1.82,6.86
2015-03-31,11.08,$1.84,6.03
2014-12-31,11.48,$1.85,6.21
2014-09-30,10.33,$1.83,5.63
2014-06-30,10.69,$2.01,5.31
2014-03-31,9.86,$1.94,5.08
2013-12-31,10.42,$2.15,4.84
2013-09-30,9.84,$2.08,4.74
2013-06-30,10.22,$2.14,4.78
2013-03-31,10.41,$2.19,4.75
2012-12-31,9.41,$2.37,3.97
2012-09-30,9.92,$2.38,4.17
2012-06-30,9.5,$2.51,3.78
2012-03-31,8.18,$2.66,3.08
2011-12-31,8.38,$2.91,2.88
2011-09-30,6.75,$2.81,2.4
2011-06-30,7.86,$3.09,2.55
2011-03-31,7.97,$2.89,2.75
2010-12-31,8.15,$2.42,3.37
2010-09-30,7.04,$2.26,3.12
2010-06-30,6.58,$1.71,3.85
2010-03-31,7.99,$1.55,5.16
2009-12-31,7.54,$1.54,4.9
